processed_frame_key,source_frame_key,matched_run_id,video_offset_sec,lens_id,processed_frame_path,manual_car_count,manual_motorcycle_count,manual_auto_rickshaw_count,manual_bus_count,manual_truck_count,manual_bicycle_count,manual_person_count,traffic_density_label,visibility_label,occlusion_level,notes
run_20260223_120453_8329_offsetms_6763_lens1_processed_lens1,run_20260223_120453_8329_offsetms_6763_lens1,run_20260223_120453_8329,6.763,1,outputs/processed_frames/run_20260223_120453_8329/lens1/run_20260223_120453_8329_offsetms_6763_lens1_processed_lens1.jpg,10,0,4,0,2,0,0,moderate,slightly_hazy,,
run_20260223_121418_5341_offsetms_41547_lens1_processed_lens1,run_20260223_121418_5341_offsetms_41547_lens1,run_20260223_121418_5341,41.547,1,outputs/processed_frames/run_20260223_121418_5341/lens1/run_20260223_121418_5341_offsetms_41547_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_120453_8329_offsetms_66763_lens1_processed_lens1,run_20260223_120453_8329_offsetms_66763_lens1,run_20260223_120453_8329,66.763,1,outputs/processed_frames/run_20260223_120453_8329/lens1/run_20260223_120453_8329_offsetms_66763_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_121418_5341_offsetms_101547_lens1_processed_lens1,run_20260223_121418_5341_offsetms_101547_lens1,run_20260223_121418_5341,101.547,1,outputs/processed_frames/run_20260223_121418_5341/lens1/run_20260223_121418_5341_offsetms_101547_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_120453_8329_offsetms_126763_lens1_processed_lens1,run_20260223_120453_8329_offsetms_126763_lens1,run_20260223_120453_8329,126.763,1,outputs/processed_frames/run_20260223_120453_8329/lens1/run_20260223_120453_8329_offsetms_126763_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_121418_5341_offsetms_161547_lens1_processed_lens1,run_20260223_121418_5341_offsetms_161547_lens1,run_20260223_121418_5341,161.547,1,outputs/processed_frames/run_20260223_121418_5341/lens1/run_20260223_121418_5341_offsetms_161547_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_120453_8329_offsetms_186763_lens1_processed_lens1,run_20260223_120453_8329_offsetms_186763_lens1,run_20260223_120453_8329,186.763,1,outputs/processed_frames/run_20260223_120453_8329/lens1/run_20260223_120453_8329_offsetms_186763_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_121418_5341_offsetms_221547_lens1_processed_lens1,run_20260223_121418_5341_offsetms_221547_lens1,run_20260223_121418_5341,221.547,1,outputs/processed_frames/run_20260223_121418_5341/lens1/run_20260223_121418_5341_offsetms_221547_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_120453_8329_offsetms_246763_lens1_processed_lens1,run_20260223_120453_8329_offsetms_246763_lens1,run_20260223_120453_8329,246.763,1,outputs/processed_frames/run_20260223_120453_8329/lens1/run_20260223_120453_8329_offsetms_246763_lens1_processed_lens1.jpg,,,,,,,,,,,
run_20260223_120453_8329_offsetms_306763_lens1_processed_lens1,run_20260223_120453_8329_offsetms_306763_lens1,run_20260223_120453_8329,306.763,1,outputs/processed_frames/run_20260223_120453_8329/lens1/run_20260223_120453_8329_offsetms_306763_lens1_processed_lens1.jpg,,,,,,,,,,,
