experiment_id,dataset,phase,protocol,reportable,architecture,view,sequence_length,target,feature_set,model,n_test,mae,rmse,r2,spearman,status,artifact
traqid_presentation_single_base,TRAQID,historical_slide,random_overlapping_windows,false,ResNet50-GRU,front_rear_concat,7,PM2.5,image_embeddings,single_gru,5312,5.991337,10.358972,0.951356,,historical_overlap_benchmark,experiments/traqid_pretraining_v1/reports/pm25_oof_residual_3fold_seed42/FINAL_PM25_RESULT_SUMMARY.md
traqid_presentation_3fold_base,TRAQID,historical_slide,random_overlapping_windows,false,3-fold_ResNet50-GRU_ensemble,front_rear_concat,7,PM2.5,image_embeddings,mean_3_gru,5312,5.113495,9.433944,0.959656,,historical_overlap_benchmark,experiments/traqid_pretraining_v1/reports/pm25_oof_residual_3fold_seed42/FINAL_PM25_RESULT_SUMMARY.md
traqid_presentation_oof_unclipped,TRAQID,historical_slide,random_overlapping_windows,false,3-fold_ResNet50-GRU_plus_residual,front_rear_concat,7,PM2.5,YOLO_road_weather_time_base_prediction,extra_trees_conservative,5312,4.233748,8.866612,0.964362,,historical_overlap_benchmark,experiments/traqid_pretraining_v1/reports/pm25_oof_residual_3fold_seed42/FINAL_PM25_RESULT_SUMMARY.md
traqid_presentation_oof_clipped,TRAQID,historical_slide,random_overlapping_windows,false,3-fold_ResNet50-GRU_plus_clipped_residual,front_rear_concat,7,PM2.5,558_aggregated_YOLO_road_weather_time_base_prediction,extra_trees_conservative_clip_12.5,5312,4.211589,8.716917,0.965556,,historical_overlap_benchmark,experiments/traqid_pretraining_v1/reports/pm25_oof_residual_3fold_seed42/pm25_oof_residual_best_clipped_metrics.csv
mumma_2day_random_t3,MUMMA_2day,sequence_prototype,random_sequence_after_window,false,ResNet50-GRU,lens6,3,sPM2,image_base,image_base,428,10.403409,19.525769,0.678664,,leakage_contaminated,artifacts/runs/mumma_2day_gru_yolo_road_residual_random_v1/metrics.csv
mumma_2day_random_t7,MUMMA_2day,sequence_prototype,random_sequence_after_window,false,ResNet50-GRU,lens6,7,sPM2,image_base,image_base,417,8.432853,14.732970,0.797083,,leakage_contaminated,artifacts/runs/mumma_2day_gru_T7_yolo_road_residual_random_v1/metrics.csv
mumma_2day_random_t9,MUMMA_2day,sequence_prototype,random_sequence_after_window,false,ResNet50-GRU,lens6,9,sPM2,image_base,image_base,411,6.375743,12.470352,0.828160,,leakage_contaminated_99.27pct,artifacts/runs/mumma_2day_gru_T9_yolo_road_residual_random_v1/metrics.csv
mumma_2day_concat_t7_residual,MUMMA_2day,multiview_prototype,random_sequence_after_window,false,ResNet50-GRU,concat_1_2_6,7,sPM2,sensor_plus_visual,random_forest,417,7.528332,15.510383,0.775103,,leakage_contaminated,artifacts/runs/mumma_2day_concat126_gru_T7_yolo_tabular_residual_random_v1/metrics.csv
mumma_2day_smoothed_t7,MUMMA_2day,smoothed_upper_bound,random_sequence_after_window,false,gated_multimodal_T7,unspecified,7,sPM2_trailing_3rows,sensor_plus_visual,extra_trees_or_gated_model,411,3.874890,6.033336,0.958320,,leakage_contaminated_99.27pct,artifacts/runs/mumma_2day_gated_multimodal_T7_30s_random_v1/metrics.json
mumma_2day_fair_t7,MUMMA_2day,whole_date_prototype,outer_date_holdout,false,ResNet50-GRU,lens6,7,sPM2,visual_yolo_road,extra_trees,2083,34.007243,41.002386,-0.542080,,exploratory_only_two_dates,artifacts/runs/mumma_2day_gru_T7_yolo_road_residual_safe_v1/metrics_aggregate.csv
mumma_5day_resnet_lens6_fair,MUMMA_5day,backbone_view_ladder,leave_one_date_out,true,ResNet50-GRU,lens6,7,sPM2,image_embeddings,gru,6543,38.722411,47.291482,-1.384882,,fair_mean_across_dates,artifacts/runs/mumma_5day_image_ladder_T7_gru_v1/model_ladder_aggregate.csv
mumma_5day_resnet_mean126_fair,MUMMA_5day,backbone_view_ladder,leave_one_date_out,true,ResNet50-GRU,mean_1_2_6,7,sPM2,image_embeddings,gru,6543,38.580525,47.428169,-1.319096,,fair_mean_across_dates,artifacts/runs/mumma_5day_image_ladder_T7_gru_v1/model_ladder_aggregate.csv
