epoch,train_loss,val_MAE,val_RMSE,val_R2,val_finite_fraction,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_finite_fraction,test_Pearson,test_Spearman
1,2.0356371453467834,57.36938234922048,58.34747324278882,-29.126130452509464,1.0,-0.07137515704062465,-0.17636906193522991,49.01175707337267,49.597474928505,-41.287550538071,1.0,0.29115989942539333,0.31099139277456217
2,1.8540731719199648,57.28252932862253,58.26289463127545,-29.03885402478576,1.0,-0.08520072743297175,-0.19702326435548384,48.93653208120087,49.52157625574278,-41.15822487484963,1.0,0.31710800449667575,0.33326930332058086
3,1.6796290138934522,57.169860913831755,58.1531342732957,-28.925781382475495,1.0,-0.08813543998380567,-0.2127570952767443,48.84432963757972,49.42793947086976,-40.99894769297222,1.0,0.33783990435020766,0.3705079537062722
4,1.4332973652697625,57.028715599975534,58.01614311812606,-28.784955312027137,1.0,-0.09206576111025044,-0.21351327487563582,48.740809162134816,49.32205387345756,-40.81919832872753,1.0,0.3468635569261286,0.3789147430419919
5,1.1239813616935244,56.8387226181601,57.83190033417357,-28.59607859038183,1.0,-0.08956613759055468,-0.20933066900262456,48.629146526446526,49.20690596981993,-40.62416298034773,1.0,0.3470258301170265,0.39609152792322255
6,0.8460799163960396,56.583601444844575,57.58554823421735,-28.344469120065312,1.0,-0.08534895219177042,-0.1994757397740897,48.50159631278616,49.076197236473185,-40.40332342537846,1.0,0.32570785320233153,0.3701815552792914
7,0.500062143549006,56.23336139281054,57.248889262013435,-28.002362415176194,1.0,-0.08097484384096007,-0.19392602958446978,48.351162542509655,48.92230743995219,-40.144071093668124,1.0,0.30303958082916005,0.33330448723062023
8,0.3519447534642321,55.81648155103319,56.850658955086004,-27.600277779199523,1.0,-0.07834975025660182,-0.1933522614440827,48.2089999969631,48.77596606026107,-39.89829058939293,1.0,0.30051270051020346,0.33361627080266154
9,0.26815631288163205,55.62340086917159,56.66479154208346,-27.413572122311617,1.0,-0.07427133974447434,-0.20856566926399342,48.18660307368222,48.75279935222358,-39.85944958527379,1.0,0.30618560046735976,0.319124830193822
10,0.19878365511589863,55.71924537627393,56.75297481321537,-27.502076864265767,1.0,-0.06882914507327031,-0.19617307217220664,48.24727732374128,48.816188619472996,-39.96577104451494,1.0,0.3062638161314948,0.31468949236516397
11,0.1526299680167056,55.94170156472208,56.9628971422085,-27.713318230235974,1.0,-0.06364696039838742,-0.18153753135229478,48.34709961421687,48.91909424820233,-40.138666628704236,1.0,0.3108276392125319,0.3369847242207405
12,0.09611428861922407,56.1179191557597,57.13064961652056,-27.88268541197325,1.0,-0.060687718745505784,-0.17436065982256796,48.43594210818744,49.01087251894715,-40.293173882845046,1.0,0.3103196805031464,0.3247277325448641
13,0.10262388022656137,56.21849506264948,57.22660835034253,-27.97979173004264,1.0,-0.058235298211551635,-0.17301968771039036,48.48633515791374,49.0648188384783,-40.38412679215479,1.0,0.29124131497159544,0.30002050833335636
14,0.12551691494089492,56.20333161766004,57.21154376127213,-27.964536197548338,1.0,-0.05749074657519819,-0.16665502510162217,48.488587922646325,49.06755468617245,-40.38874206750375,1.0,0.28720990997959994,0.2960317355167368
15,0.09920191542899355,56.10327502187615,57.11491574278258,-27.866778925621105,1.0,-0.05745029315174145,-0.17158843765098808,48.44825262469428,49.026233969656545,-40.31906293277995,1.0,0.2878517832574995,0.29247870189368197
16,0.11568890607103388,55.98733869655252,57.003508988840295,-27.754275296049546,1.0,-0.05745735890238879,-0.16285747059469471,48.39044892410393,48.966439168036686,-40.218334881734904,1.0,0.2969961199887064,0.2994456573724051
17,0.09885228900833333,55.87948814080489,56.90012966343252,-27.650074619906796,1.0,-0.058434877663172194,-0.16816796927668073,48.35192057239769,48.925091677490684,-40.1487543611982,1.0,0.3103231902974946,0.31160196893647657
18,0.11057924526803037,55.88327332554407,56.90414115597255,-27.654114456462167,1.0,-0.06209469313547508,-0.16865448872363348,48.340342597242426,48.91289303080568,-40.128237423109745,1.0,0.3131218092984823,0.32373771144544794
19,0.07826142203300557,55.901592902120015,56.92189386220761,-27.6719960171072,1.0,-0.06456033383866733,-0.16875634208830514,48.34030478217142,48.912252609552695,-40.12716043815633,1.0,0.3179529479828733,0.3227460664732608
