lag_rows,approx_lag_seconds_if_10s,n,MAE,RMSE,R2,Spearman,mean_abs_change,median_abs_change
1,10,280,5.708454371557143,12.023395266484755,0.4656050631989128,0.8047996239019084,5.708454371557143,1.878499593
2,20,279,8.8548104650681,16.157762337516736,0.037271169704231166,0.5789488225088132,8.8548104650681,4.2982244770000015
3,30,278,9.84671559739928,17.11737653060168,-0.07803301396132523,0.4470856760498204,9.84671559739928,5.2708850085
4,40,277,10.36580688535379,18.48764707056544,-0.25468957096743283,0.37710951941633003,10.36580688535379,5.320725360000001
5,50,276,11.355306525101449,20.62362724410102,-0.5574654085925055,0.3090423938014583,11.355306525101449,5.870068498999999
6,60,275,12.480629845425455,22.021879137996038,-0.7713693650863231,0.24386947866478173,12.480629845425455,6.51616037
7,70,274,13.114766596335766,23.081167512520565,-0.9411977414098331,0.18058817095313445,13.114766596335766,7.120392345000001
8,80,273,13.40515413174359,23.508126781584284,-1.0085203519837278,0.10248290781781551,13.40515413174359,7.69295576
9,90,272,13.660430627352943,23.411215273161723,-0.9870679787755539,0.03008202997349947,13.660430627352943,7.9632288
10,100,271,13.295147885431735,22.630944524588976,-0.852445998316608,0.022413356486506043,13.295147885431735,8.404619599
11,110,270,12.785831163814816,22.508912403212058,-0.828860883039247,0.08246386553084861,12.785831163814816,7.7080807645
12,120,269,12.784217463858736,22.62701667817611,-0.8446593878642461,0.09823188888272391,12.784217463858736,7.33184584
13,130,268,13.177836510462686,22.10404459963684,-0.7557655722239651,0.043588498342006184,13.177836510462686,8.01911051
14,140,267,13.430846693865169,21.739163984069155,-0.6934382155435288,-0.010448517739090304,13.430846693865169,7.593894384
15,150,266,13.164203342022557,22.095517297500294,-0.7447240188111166,-0.004313624850763755,13.164203342022557,7.486576118
16,160,265,13.018508666875471,22.56285336175292,-0.8145827173065305,0.027822773056139494,13.018508666875471,7.16923834
17,170,264,13.332977341401516,22.151747649615334,-0.7442147654029738,0.05212582094711371,13.332977341401516,7.868219535000001
18,180,263,13.51500832676806,22.42907068805247,-0.7828971156109019,0.09231218814564239,13.51500832676806,7.7932523090000005
19,190,262,13.415772618618321,23.061528773364454,-0.8778228191972786,0.15746889565695196,13.415772618618321,7.3422691549999985
20,200,261,13.356524755471264,23.341389276144163,-0.9187273807319918,0.15912824562469208,13.356524755471264,7.364811120000002
21,210,260,13.204373472007694,23.34444525401928,-0.9179868568549605,0.15786760614346818,13.204373472007694,7.287464234499999
22,220,259,12.776820377776062,23.0868255668059,-0.8744788520342899,0.17570330361028033,12.776820377776062,6.3160050000000005
23,230,258,12.382658589930232,22.65810189669582,-0.7987001556666342,0.21014153753272383,12.382658589930232,6.425273927000001
24,240,257,12.360816155284047,22.495636198999538,-0.7663869707469411,0.22859922178988326,12.360816155284047,6.159507609999999
25,250,256,12.559863726625,22.30777890662447,-0.751183279140831,0.20901450560769053,12.559863726625,6.34237773
26,260,255,12.685584435835294,22.07414028396099,-0.7158210256058897,0.186531669754516,12.685584435835294,6.909871640000002
27,270,254,12.32285387792126,22.165135934207758,-0.7268852000592527,0.1404086579389155,12.32285387792126,6.390756518999999
28,280,253,12.725665663019765,22.699743721388188,-0.8057827820793004,0.0668898601113596,12.725665663019765,6.99453381
29,290,252,13.41024327273016,23.261686527442546,-0.8890031509005487,0.022073197891663163,13.41024327273016,7.601879895
30,300,251,13.844740184701195,23.92184730291496,-0.990394766057656,0.048068298235628915,13.844740184701195,7.583529950000001
