feature_set,model,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias
tabular_met_gas,extra_trees,12,281,5,6.443521761206125,10.863623203266593,0.5625966000118721,0.7594933422752003,0.26859217029030125
tabular_plus_engineered_source,extra_trees,51,281,5,6.920467142379856,11.29431474416027,0.5272271383034245,0.7221219266839013,0.43428968497325277
tabular_plus_raw_source,extra_trees,147,281,5,6.947469952838516,11.345123115923304,0.5229639581736869,0.7108411123971052,0.25947158178531704
tabular_plus_raw_and_engineered_source,extra_trees,186,281,5,6.955366002354442,11.41615581698365,0.516971738077425,0.7079368084024705,0.22381615534571503
tabular_met_gas,hist_gradient_boosting,12,281,5,7.582246710616564,11.92443727865427,0.47300250160493595,0.6221240900388321,0.4538463641431193
tabular_met_gas,random_forest,12,281,5,6.806869529739479,12.029044134506027,0.46371579856771206,0.7088194572142478,0.19695694313470263
tabular_plus_raw_source,hist_gradient_boosting,147,281,5,7.806460464820921,12.283997179525405,0.44074202914810623,0.6167400404547371,0.14595177393217437
tabular_plus_raw_source,random_forest,147,281,5,7.371262454349729,12.372818358251411,0.43262520223544965,0.6679304265054246,0.3676690341047234
tabular_plus_engineered_source,random_forest,51,281,5,7.265546124748597,12.382192159285573,0.43176517617232923,0.6601104392692185,0.25772021962865965
tabular_plus_raw_and_engineered_source,random_forest,186,281,5,7.375984191309173,12.459742079361128,0.4246251545189643,0.6610920615690812,0.2696219422808141
tabular_plus_engineered_source,hist_gradient_boosting,51,281,5,8.180335993576021,12.81854810154686,0.39100960732283463,0.5937927938647253,0.5654135040031985
tabular_plus_engineered_source,ridge,51,281,5,8.217257591613693,12.92508004627971,0.3808451926305878,0.5944261160207248,0.15721344971190845
tabular_plus_raw_and_engineered_source,hist_gradient_boosting,186,281,5,8.4040955669722,13.26945083804079,0.3474126273925884,0.57103267747623,0.2568722559403271
raw_source_proxy,hist_gradient_boosting,135,281,5,8.31449302619696,13.277254541361161,0.3466448343956532,0.516037036114594,-0.11265708558652618
raw_source_proxy,extra_trees,135,281,5,7.761656949770407,13.301682202080915,0.3442385206636638,0.6211537099504523,0.009901102076340863
tabular_plus_raw_and_engineered_source,ridge,186,281,5,9.05905552614006,13.540707236284542,0.32045931579854703,0.5589256764892729,0.6592227442329323
tabular_met_gas,ridge,12,281,5,8.698223461223074,13.631940683839783,0.31127136174942394,0.5444764140228665,0.13487082851227308
tabular_plus_raw_source,ridge,147,281,5,9.279672874641063,13.65714801040389,0.3087218994912285,0.5489208886024477,0.6982112708631126
engineered_road_only,extra_trees,19,281,5,8.381785574991477,13.69747148671592,0.3046338004340986,0.43830795824450813,0.1064645135941517
engineered_source_proxy,extra_trees,39,281,5,8.218984138911217,13.831259200104192,0.29098372080935864,0.542633977744159,0.3512948357859948
raw_vehicle_only,extra_trees,55,281,5,8.288310308802572,13.832527701290873,0.29085366334732476,0.5518306196568624,0.2204710864856472
raw_osm_only,extra_trees,23,281,5,7.524783804733512,13.925649716242658,0.28127343020002693,0.6435777035875179,0.15950183980269075
raw_source_proxy,random_forest,135,281,5,8.154679394039805,14.008224467985835,0.27272451093026984,0.5683866634439361,0.32609655766571366
engineered_vehicle_only,extra_trees,22,281,5,8.304676092074493,14.067632472033525,0.26654277073354604,0.5452064416889618,0.4767272068545868
raw_road_only,extra_trees,81,281,5,8.405456988224007,14.09711669012896,0.26346505666846975,0.4608988485552487,0.19486517451599053
raw_vehicle_only,random_forest,55,281,5,8.494653642635276,14.119900417738123,0.26108236060248746,0.5592012875042357,0.6691498660803796
raw_osm_only,random_forest,23,281,5,7.891691019750432,14.150465754943076,0.2578798292388773,0.6118327792844966,0.23028264088988729
raw_road_only,hist_gradient_boosting,81,281,5,8.883001794645796,14.279420267521127,0.24429217680330795,0.41541422467294215,0.0984866528128152
raw_vehicle_only,hist_gradient_boosting,55,281,5,8.854554472239707,14.287161534166422,0.24347257468845207,0.4237676996218816,-0.007787048354766027
engineered_road_only,random_forest,19,281,5,8.739604942659813,14.492335207913428,0.22158802591166105,0.41017657912912936,0.20646167494515524
engineered_source_proxy,hist_gradient_boosting,39,281,5,9.337724982949675,14.822364518816261,0.18573129193751148,0.4258791598273547,0.24648763728356798
raw_road_only,random_forest,81,281,5,8.722856695055361,14.84360713913322,0.1833956867523604,0.3721643772550608,0.39683639767750134
engineered_vehicle_only,random_forest,22,281,5,8.62809781200573,14.853344408813713,0.18232396551910113,0.5257346575020883,0.7906555887996106
raw_osm_only,hist_gradient_boosting,23,281,5,8.454547460286632,14.894678994816749,0.17776669852401195,0.5539604347156395,0.552998326198995
engineered_vehicle_only,hist_gradient_boosting,22,281,5,9.179167423121463,14.990627591320237,0.16713924759210275,0.42432096277601355,0.554270561952393
engineered_source_proxy,random_forest,39,281,5,8.680874504223656,15.018518106852433,0.16403723939940706,0.4939771922612263,0.6991549515331504
