feature_set,model,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias
tabular_met_gas,extra_trees,12,281,5,6.0938109624798455,10.626095888186002,0.5815146803190396,0.7761089898214149,0.32207295573946915
tabular_vehicle_road_osm,extra_trees,147,281,5,6.785129224305164,11.185660040737226,0.5362798172208957,0.7163971486982009,0.24171962196899374
tabular_met_gas,hist_gradient_boosting,12,281,5,7.582246710616564,11.92443727865427,0.47300250160493595,0.6221240900388321,0.4538463641431193
tabular_met_gas,random_forest,12,281,5,6.823004212892925,12.128050638062081,0.45485156495473955,0.7133354606323485,0.3998986760516658
tabular_vehicle_road_osm,hist_gradient_boosting,147,281,5,7.806460464820921,12.283997179525405,0.44074202914810623,0.6167400404547371,0.14595177393217437
tabular_vehicle_road_osm,random_forest,147,281,5,7.420739199146917,12.449611504910076,0.4255604079207461,0.6616599422384232,0.3688753902243211
vehicle_road_osm,hist_gradient_boosting,135,281,5,8.31449302619696,13.277254541361161,0.3466448343956532,0.516037036114594,-0.11265708558652618
vehicle_road_osm,extra_trees,135,281,5,7.712939877022656,13.344833868559059,0.33997693940678597,0.6268320464400582,-0.05294528530140643
vehicle_road,hist_gradient_boosting,125,281,5,8.617468686870902,13.513885505758347,0.3231487477627809,0.5070411414067568,0.12649911794808433
vehicle_road,extra_trees,125,281,5,7.957226211805621,13.514349481170985,0.3231022699781405,0.5979768567074797,0.13833376990234267
tabular_met_gas,ridge,12,281,5,8.698223461223074,13.631940683839783,0.31127136174942394,0.5444764140228665,0.134870828512274
tabular_vehicle_road_osm,ridge,147,281,5,9.279672874641063,13.65714801040389,0.3087218994912285,0.5489208886024477,0.6982112708631126
vehicle_only,extra_trees,55,281,5,8.228328579481085,13.901927152490847,0.2837200685567386,0.5617600363731762,0.27657825498572886
osm_only,extra_trees,23,281,5,7.4579707609741925,13.94837221316818,0.2789260228654582,0.6613141896185813,0.09927525841628998
road_only,extra_trees,81,281,5,8.427286739452555,13.967250402785927,0.2769728511385594,0.45745203577504995,0.3196592606601013
vehicle_only,random_forest,55,281,5,8.562225750016797,14.078469058795754,0.2654123411125413,0.5512730060267889,0.7359231182120567
vehicle_road_osm,random_forest,135,281,5,8.233285958473802,14.192323075939889,0.25348292733777444,0.5564366829945749,0.25864845623457394
gps_only,extra_trees,9,281,5,7.989479046910174,14.200502091121482,0.25262224599442784,0.605756146632197,0.091820867043116
osm_only,random_forest,23,281,5,7.867024146116534,14.22050147493943,0.25051561344160145,0.617819938532038,0.26262683040392215
gps_only,random_forest,9,281,5,8.528382929275299,14.26771904397399,0.24553019388619113,0.5555971400447813,0.637318822221262
road_only,hist_gradient_boosting,81,281,5,8.883001794645796,14.279420267521127,0.24429217680330795,0.41541422467294215,0.0984866528128152
vehicle_only,hist_gradient_boosting,55,281,5,8.854554472239707,14.287161534166422,0.24347257468845207,0.4237676996218816,-0.007787048354766027
vehicle_road,random_forest,125,281,5,8.527070275468807,14.327298754145108,0.23921594750604025,0.5194443671227931,0.5160158899763596
osm_only,hist_gradient_boosting,23,281,5,8.454547460286632,14.894678994816749,0.17776669852401195,0.5539604347156395,0.552998326198995
gps_only,hist_gradient_boosting,9,281,5,9.147639455497796,14.990708218542425,0.16713028847026312,0.4457030099677664,-0.22306451250097628
road_only,random_forest,81,281,5,8.887246512001784,15.084538746728157,0.1566713855998435,0.36460442918639313,0.5999145686986876
vehicle_road_osm,ridge,135,281,5,10.088551325616121,15.244793379139725,0.1386575495493978,0.4336729672224826,0.735788588223003
osm_only,ridge,23,281,5,9.066052484910152,15.26026961388239,0.13690782372725674,0.43905969693335706,0.06427980907067775
vehicle_only,ridge,55,281,5,9.960852588085466,15.455023965279086,0.11473736867877504,0.36469256482843937,0.2626374500440736
vehicle_road,ridge,125,281,5,10.43940382253808,15.562804177425532,0.10234702976007082,0.3868580510702529,0.6248052354734226
road_only,ridge,81,281,5,10.182420040141654,15.63915813918137,0.09351732361053178,0.3780106244403006,0.6729030693366893
gps_only,ridge,9,281,5,9.347304554113325,15.737447020202657,0.08208740573546724,0.39977176605479764,0.059642558361558635
mean_baseline,mean_baseline,0,281,5,9.703334583476071,16.426068014218373,0.0,,-1.314883354431502e-15
