experiment,feature_set,model,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
residual_raw_source_base-et_leaf2_res-hgb_slow_log1p,raw_source,base_et_leaf2_res_hgb_slow,149,281,5,5.841350825097033,9.908645692245228,0.6361173361399721,0.7493661370052677,-0.25791171049708667,residual_fusion,True,et_leaf2,hgb_slow,12.0,137.0
residual_all_source_base-et_leaf2_res-hgb_slow_log1p,all_source,base_et_leaf2_res_hgb_slow,188,281,5,5.998354088673892,9.988978023473592,0.6301932092736267,0.7440724074895346,-0.2755972866634656,residual_fusion,True,et_leaf2,hgb_slow,12.0,176.0
residual_all_source_base-et_leaf2_res-et_leaf2_log1p,all_source,base_et_leaf2_res_et_leaf2,188,281,5,5.8251320543333085,10.054852804080435,0.6252995618418649,0.7728136594230332,-0.36862788963990584,residual_fusion,True,et_leaf2,et_leaf2,12.0,176.0
residual_raw_source_base-et_leaf2_res-et_leaf3_log1p,raw_source,base_et_leaf2_res_et_leaf3,149,281,5,5.8011276639030624,10.056224332722719,0.6251973331084874,0.7735113413882247,-0.366143751088585,residual_fusion,True,et_leaf2,et_leaf3,12.0,137.0
residual_all_source_base-et_leaf2_res-et_leaf3_log1p,all_source,base_et_leaf2_res_et_leaf3,188,281,5,5.816359341829146,10.06210655502314,0.6247587356138629,0.7739434715356575,-0.3525865482799378,residual_fusion,True,et_leaf2,et_leaf3,12.0,176.0
residual_raw_source_base-et_leaf2_res-et_leaf2_log1p,raw_source,base_et_leaf2_res_et_leaf2,149,281,5,5.807813923744693,10.06796225111389,0.624321861256041,0.7746508885980377,-0.39252214419363074,residual_fusion,True,et_leaf2,et_leaf2,12.0,137.0
residual_raw_source_base-et_leaf2_res-hgb_slow_raw,raw_source,base_et_leaf2_res_hgb_slow,149,281,5,6.078291112712882,10.158369889021571,0.6175445875770452,0.7474261484710488,0.4127362517757999,residual_fusion,False,et_leaf2,hgb_slow,12.0,137.0
residual_all_source_base-et_leaf2_res-hgb_slow_raw,all_source,base_et_leaf2_res_hgb_slow,188,281,5,6.124283881607168,10.202903178640437,0.6141839438652289,0.7478279916494498,0.4031481543510528,residual_fusion,False,et_leaf2,hgb_slow,12.0,176.0
residual_all_source_base-et_leaf2_res-rf_leaf2_log1p,all_source,base_et_leaf2_res_rf_leaf2,188,281,5,6.009114867726626,10.207178293655746,0.6138605548170742,0.7631607697216841,-0.2918983487576446,residual_fusion,True,et_leaf2,rf_leaf2,12.0,176.0
residual_raw_source_base-et_leaf2_res-rf_leaf2_log1p,raw_source,base_et_leaf2_res_rf_leaf2,149,281,5,5.9859122998338155,10.23454248748319,0.611787394552328,0.7606766974223625,-0.3009767795640886,residual_fusion,True,et_leaf2,rf_leaf2,12.0,137.0
residual_raw_source_base-et_leaf2_res-et_leaf2_raw,raw_source,base_et_leaf2_res_et_leaf2,149,281,5,6.014244948319052,10.27572380677319,0.6086569622149733,0.7733409771874221,0.3714382882483536,residual_fusion,False,et_leaf2,et_leaf2,12.0,137.0
residual_all_source_base-et_leaf2_res-et_leaf2_raw,all_source,base_et_leaf2_res_et_leaf2,188,281,5,6.030992650709893,10.279451082756143,0.6083730098477247,0.7730332399485119,0.38356915957288457,residual_fusion,False,et_leaf2,et_leaf2,12.0,176.0
residual_all_source_base-et_leaf2_res-et_leaf3_raw,all_source,base_et_leaf2_res_et_leaf3,188,281,5,6.003891746950961,10.30205550872833,0.6066487472336601,0.7752560871399364,0.4039348519427535,residual_fusion,False,et_leaf2,et_leaf3,12.0,176.0
residual_raw_source_base-et_leaf2_res-et_leaf3_raw,raw_source,base_et_leaf2_res_et_leaf3,149,281,5,6.027905470545861,10.331082578515339,0.604429011628649,0.7711776222565954,0.41484588462937605,residual_fusion,False,et_leaf2,et_leaf3,12.0,137.0
residual_raw_source_base-et_leaf3_res-et_leaf2_raw,raw_source,base_et_leaf3_res_et_leaf2,149,281,5,6.336621873810548,10.355878712663944,0.6025278744912751,0.7335114495559714,0.21061720056539415,residual_fusion,False,et_leaf3,et_leaf2,12.0,137.0
residual_raw_source_base-et_leaf3_res-et_leaf3_raw,raw_source,base_et_leaf3_res_et_leaf3,149,281,5,6.314488351568479,10.364005178558873,0.6019038210233193,0.7394114592910684,0.31241928125847296,residual_fusion,False,et_leaf3,et_leaf3,12.0,137.0
residual_all_source_base-et_leaf2_res-rf_leaf2_raw,all_source,base_et_leaf2_res_rf_leaf2,188,281,5,6.144896199099687,10.408551975511449,0.5984742546562243,0.7607432205864855,0.3962953771532242,residual_fusion,False,et_leaf2,rf_leaf2,12.0,176.0
residual_raw_source_base-et_leaf3_res-et_leaf2_log1p,raw_source,base_et_leaf3_res_et_leaf2,149,281,5,6.238895003627592,10.421102071330337,0.5975053927846634,0.742054538177806,-0.14442934181324035,residual_fusion,True,et_leaf3,et_leaf2,12.0,137.0
residual_raw_source_base-et_leaf3_res-et_leaf3_log1p,raw_source,base_et_leaf3_res_et_leaf3,149,281,5,6.236819651369767,10.431752349202057,0.5966822802473631,0.7483115014764896,-0.06679732381455081,residual_fusion,True,et_leaf3,et_leaf3,12.0,137.0
residual_raw_source_base-et_leaf2_res-rf_leaf2_raw,raw_source,base_et_leaf2_res_rf_leaf2,149,281,5,6.1406401371195285,10.45922785334545,0.5945549385434747,0.7607215870371772,0.3887967570283437,residual_fusion,False,et_leaf2,rf_leaf2,12.0,137.0
residual_raw_source_base-et_leaf3_res-hgb_slow_raw,raw_source,base_et_leaf3_res_hgb_slow,149,281,5,6.597776775149795,10.460271911698618,0.5944739900381384,0.6943395818234918,0.2809034622098013,residual_fusion,False,et_leaf3,hgb_slow,12.0,137.0
direct_tabular_plus_top15_source_et_leaf1_log1p,tabular_plus_top15_source,et_leaf1,27,281,5,5.976737881801825,10.462886129789053,0.5942712676014854,0.7594452076279894,-1.3992939823745336,direct,True,,,,
direct_tabular_plus_top50_source_et_leaf1_raw,tabular_plus_top50_source,et_leaf1,62,281,5,6.6184191160354935,10.488974376753541,0.5922454503856005,0.7272128416748692,0.628023056850754,direct,False,,,,
residual_all_source_base-et_leaf2_res-et_leaf1_log1p,all_source,base_et_leaf2_res_et_leaf1,188,281,5,5.605521819038202,10.494408880217197,0.5918228127681806,0.78695605144458,-1.5400776131288498,residual_fusion,True,et_leaf2,et_leaf1,12.0,176.0
direct_tabular_et_leaf2_log1p,tabular,et_leaf2,12,281,5,5.702380482772332,10.497060622867856,0.5916165090844654,0.7866515592380662,-1.3708572352487438,direct,True,,,,
residual_raw_source_base-et_leaf3_res-hgb_slow_log1p,raw_source,base_et_leaf3_res_hgb_slow,149,281,5,6.496941316283157,10.52493599050236,0.589444671562019,0.6961768109984963,-0.1347112927817072,residual_fusion,True,et_leaf3,hgb_slow,12.0,137.0
residual_all_source_base-et_leaf2_res-et_leaf1_raw,all_source,base_et_leaf2_res_et_leaf1,188,281,5,5.873076863559722,10.529514130209002,0.5890874269302907,0.7797147616523703,-0.21885573590877436,residual_fusion,False,et_leaf2,et_leaf1,12.0,176.0
direct_tabular_plus_top10_source_et_leaf1_log1p,tabular_plus_top10_source,et_leaf1,22,281,5,5.962535873213605,10.537434042804044,0.5884690478599155,0.7605463552877801,-1.3293549264203932,direct,True,,,,
residual_raw_source_base-et_leaf2_res-et_leaf1_log1p,raw_source,base_et_leaf2_res_et_leaf1,149,281,5,5.70438298528072,10.539616688528536,0.5882985472815981,0.7857543077805058,-1.3123077214956684,residual_fusion,True,et_leaf2,et_leaf1,12.0,137.0
residual_raw_source_base-et_leaf2_res-et_leaf1_raw,raw_source,base_et_leaf2_res_et_leaf1,149,281,5,5.953317700457933,10.54973466147909,0.5875077056876019,0.77815011519865,-0.09741233484864642,residual_fusion,False,et_leaf2,et_leaf1,12.0,137.0
direct_tabular_et_leaf2_raw,tabular,et_leaf2,12,281,5,6.1085527484988305,10.572680248210423,0.5857114196131064,0.7771701154149855,0.3231888013054512,direct,False,,,,
direct_tabular_plus_top15_source_et_leaf1_raw,tabular_plus_top15_source,et_leaf1,27,281,5,6.525626484513325,10.583318156200134,0.5848773111613913,0.7350955662040691,0.6497037993268038,direct,False,,,,
direct_tabular_plus_top20_source_et_leaf1_log1p,tabular_plus_top20_source,et_leaf1,32,281,5,6.039482742411807,10.619239930761452,0.5820545195953548,0.7485905742625663,-1.4222431513583869,direct,True,,,,
residual_raw_source_base-et_leaf3_res-rf_leaf2_raw,raw_source,base_et_leaf3_res_rf_leaf2,149,281,5,6.475504902927971,10.629606997982425,0.5812380800183354,0.7319289554240715,0.34161805468564554,residual_fusion,False,et_leaf3,rf_leaf2,12.0,137.0
direct_tabular_plus_top30_source_et_leaf1_log1p,tabular_plus_top30_source,et_leaf1,42,281,5,5.990000837200313,10.64136164551159,0.580311400327852,0.7530005732890566,-1.5410585862980437,direct,True,,,,
