experiment,base_model,residual_model,residual_feature_set,n_base_features,n_residual_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias
raw_source_residual_extra_trees,extra_trees,extra_trees,raw_source_residual,12,137,281,5,6.325080409985129,10.379075635780781,0.6007452238771758,0.7391989096691147,0.36898326383991137
raw_and_engineered_source_residual_extra_trees,extra_trees,extra_trees,raw_and_engineered_source_residual,12,176,281,5,6.317385075416818,10.384735892099663,0.6003096358410782,0.7365590758147734,0.3684054813929811
raw_source_residual_hgb,extra_trees,hgb,raw_source_residual,12,137,281,5,6.598484467217921,10.448065978362306,0.5954198422202575,0.6961795151921598,0.3384461448090835
raw_source_residual_random_forest,extra_trees,random_forest,raw_source_residual,12,137,281,5,6.415948694636784,10.53776635678418,0.5884430909439288,0.72564440935002,0.3662452601889661
engineered_source_residual_extra_trees,extra_trees,extra_trees,engineered_source_residual,12,39,281,5,6.3861725371225555,10.549632371377365,0.5875157046895756,0.7501828034916548,0.4435499746923604
raw_and_engineered_source_residual_random_forest,extra_trees,random_forest,raw_and_engineered_source_residual,12,176,281,5,6.450952527313507,10.56832730809112,0.5860524877437028,0.7277688238920917,0.35996140169539254
engineered_source_residual_random_forest,extra_trees,random_forest,engineered_source_residual,12,39,281,5,6.542001203654361,10.636838728066666,0.5806680865397884,0.7436300014061805,0.4476331692611865
raw_and_engineered_source_residual_hgb,extra_trees,hgb,raw_and_engineered_source_residual,12,176,281,5,6.79939588398547,10.648155599836707,0.5797753306988814,0.6918971541065884,0.2936548003697412
engineered_source_residual_ridge,extra_trees,ridge,engineered_source_residual,12,39,281,5,6.47944200745966,10.760626697471338,0.5708512052639301,0.7446857186124239,0.3225841408752369
engineered_source_residual_hgb,extra_trees,hgb,engineered_source_residual,12,39,281,5,6.960669810929697,10.822792229343719,0.5658783861675835,0.6997869095393136,0.41724994740240906
tabular_baseline,extra_trees,none,none,12,0,281,5,6.443521761206125,10.863623203266593,0.5625966000118721,0.7594933422752003,0.26859217029030136
raw_and_engineered_source_residual_ridge,extra_trees,ridge,raw_and_engineered_source_residual,12,176,281,5,6.9416984949755305,11.107044909136274,0.5427751540963027,0.7280998171965082,0.7451031099476111
raw_source_residual_ridge,extra_trees,ridge,raw_source_residual,12,137,281,5,7.034563057145206,11.13950640503788,0.5400986741640607,0.7147557031444363,0.733239231048521
