experiment,feature_set,model,T,cv,pca_dim,n_rows,n_features_per_timestep,n_flattened_features,explained_variance,log_target,valid_embedding_rows,total_rows,MAE,RMSE,R2,Spearman,Bias
resnet50_pca8_T7_random2fold_flattened_extra_trees_raw,resnet50_pca8_T7,flattened_extra_trees,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,8.760398088570827,13.21116487635169,0.4250020869767793,0.2680790671023022,0.9908590212553866
resnet50_pca16_T7_random2fold_flattened_extra_trees_raw,resnet50_pca16_T7,flattened_extra_trees,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,8.808397807912934,13.410455578394695,0.40752353028081145,0.28425697187721755,1.091776981937357
resnet50_pca32_T7_random2fold_flattened_extra_trees_raw,resnet50_pca32_T7,flattened_extra_trees,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,9.183915328572919,13.683998113885862,0.38310669856471924,0.23162304618572196,1.1419316205848762
resnet50_pca16_T7_random2fold_gru_h32_log1p,resnet50_pca16_T7,gru_h32,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,7.489744691889685,13.698450123662045,0.38180297785253536,0.5971698864994707,-3.91361491362936
resnet50_pca64_T7_random2fold_flattened_extra_trees_raw,resnet50_pca64_T7,flattened_extra_trees,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,9.383147835794604,14.029082467357153,0.351600637092053,0.1708598490454344,0.9359972618553932
resnet50_pca8_T7_random2fold_flattened_extra_trees_log1p,resnet50_pca8_T7,flattened_extra_trees,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,7.983113171288877,14.046180094592946,0.35001922988399903,0.32147478588206724,-2.493077859323901
resnet50_pca8_T7_random2fold_flattened_random_forest_raw,resnet50_pca8_T7,flattened_random_forest,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,9.004411601603191,14.267190587419437,0.3294039843866914,0.23700587804480064,0.7470933789873387
resnet50_pca32_T7_random2fold_lstm_h32_log1p,resnet50_pca32_T7,lstm_h32,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,7.842742717317246,14.268456542498233,0.32928497257552714,0.4984318256850446,-4.124218058688446
resnet50_pca32_T7_random2fold_flattened_random_forest_raw,resnet50_pca32_T7,flattened_random_forest,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,9.38862534951571,14.333637683004065,0.32314305715629843,0.20844480367937526,1.2006888619355147
resnet50_pca16_T7_random2fold_flattened_random_forest_raw,resnet50_pca16_T7,flattened_random_forest,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,9.271492612747986,14.452757285439672,0.3118462800902936,0.2156756715732593,1.1623144199790651
resnet50_pca16_T7_random2fold_flattened_extra_trees_log1p,resnet50_pca16_T7,flattened_extra_trees,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,8.085607863144988,14.497212679673742,0.3076063702013081,0.3503422851136333,-2.545864820109515
resnet50_pca32_T7_random2fold_gru_h32_log1p,resnet50_pca32_T7,gru_h32,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,7.954319140430172,14.555848377892838,0.3019941068607095,0.5555520770483032,-3.8861539425256426
resnet50_pca32_T7_random2fold_flattened_extra_trees_log1p,resnet50_pca32_T7,flattened_extra_trees,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,8.182385108825839,14.632211096058725,0.29465115561675304,0.3655990179225343,-2.524511904714618
resnet50_pca8_T7_random2fold_flattened_random_forest_log1p,resnet50_pca8_T7,flattened_random_forest,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.008630192935266,14.66857805152739,0.29114064488420954,0.3026965388220383,-2.6655073619672693
resnet50_pca64_T7_random2fold_flattened_random_forest_raw,resnet50_pca64_T7,flattened_random_forest,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,9.616152841203078,14.773545160924655,0.2809592705162939,0.18165587064506702,0.9884059504679006
resnet50_pca32_T7_random2fold_flattened_random_forest_log1p,resnet50_pca32_T7,flattened_random_forest,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,8.229103745618355,14.835211746254803,0.27494401446895245,0.32901777074486854,-2.505379777150411
resnet50_pca16_T7_random2fold_flattened_random_forest_log1p,resnet50_pca16_T7,flattened_random_forest,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,8.095419383325448,14.8516480610703,0.27333650790215835,0.33931952808673244,-2.62995321871418
resnet50_pca8_T7_random2fold_gru_h32_log1p,resnet50_pca8_T7,gru_h32,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.090228535075044,14.878391161745741,0.27071717146380214,0.5425143156384833,-2.886270928280548
