experiment,feature_set,model,T,cv,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_T7_random2fold_tabular_ridge_log1p,tabular,ridge,7,random_2fold_sequence_cv,84,275,2,7.308615211398095,12.088497653515121,0.46624120889944787,0.5896056086090996,-1.452977376145388,direct_temporal,True,,,,
residual_T7_random2fold_raw_source_base-et_leaf3_res-et_leaf3_raw,raw_source,base_et_leaf3_res_et_leaf3,7,random_2fold_sequence_cv,1043,275,2,7.105124944346318,12.310365660532666,0.4464685690368685,0.6902420587980728,0.04521373999684941,residual_temporal,False,et_leaf3,et_leaf3,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-et_leaf3_log1p,raw_source,base_et_leaf3_res_et_leaf3,7,random_2fold_sequence_cv,1043,275,2,6.890941293543463,12.318694369204117,0.44571932052602203,0.680920919765731,-0.9415516279529578,residual_temporal,True,et_leaf3,et_leaf3,84.0,959.0
direct_T7_random2fold_tabular_plus_top30_source_et_leaf3_raw,tabular_plus_top30_source,et_leaf3,7,random_2fold_sequence_cv,294,275,2,7.507346925303973,12.343896716891855,0.443449037088092,0.6661746631660944,0.03094021256117946,direct_temporal,False,,,,
direct_T7_random2fold_tabular_et_leaf2_raw,tabular,et_leaf2,7,random_2fold_sequence_cv,84,275,2,7.151958660353526,12.375416844390074,0.44060310356093013,0.6929269207466605,-0.07535468491888524,direct_temporal,False,,,,
residual_T7_random2fold_raw_source_base-et_leaf2_res-et_leaf3_raw,raw_source,base_et_leaf2_res_et_leaf3,7,random_2fold_sequence_cv,1043,275,2,7.145552311866383,12.402820595626018,0.4381229372346539,0.6924254926286028,0.06286776611678495,residual_temporal,False,et_leaf2,et_leaf3,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-et_leaf2_raw,top30_source,base_et_leaf2_res_et_leaf2,7,random_2fold_sequence_cv,294,275,2,7.234739203362173,12.41210486906574,0.43728142336602627,0.6839969995095353,0.12344451407627872,residual_temporal,False,et_leaf2,et_leaf2,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-et_leaf2_raw,raw_source,base_et_leaf3_res_et_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.0762377397748075,12.426969513673122,0.43593280112309085,0.6899137358991374,-0.08885347919726676,residual_temporal,False,et_leaf3,et_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-et_leaf2_log1p,raw_source,base_et_leaf3_res_et_leaf2,7,random_2fold_sequence_cv,1043,275,2,6.801097241746234,12.43723018181863,0.43500094147343205,0.680432763047806,-1.116316589148174,residual_temporal,True,et_leaf3,et_leaf2,84.0,959.0
direct_T7_random2fold_tabular_et_leaf3_raw,tabular,et_leaf3,7,random_2fold_sequence_cv,84,275,2,7.251613923940373,12.440041601558883,0.4347454779953721,0.6853558754796457,-0.2724740345594765,direct_temporal,False,,,,
residual_T7_random2fold_top30_source_base-et_leaf3_res-et_leaf2_raw,top30_source,base_et_leaf3_res_et_leaf2,7,random_2fold_sequence_cv,294,275,2,7.243705847038666,12.447062838013597,0.4341072316314396,0.6815764115288077,0.08826319599365527,residual_temporal,False,et_leaf3,et_leaf2,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-et_leaf3_raw,top30_source,base_et_leaf2_res_et_leaf3,7,random_2fold_sequence_cv,294,275,2,7.2295571520212265,12.448624781636392,0.4339651984352192,0.6868861256166873,0.09512454148851997,residual_temporal,False,et_leaf2,et_leaf3,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-et_leaf1_raw,top30_source,base_et_leaf2_res_et_leaf1,7,random_2fold_sequence_cv,294,275,2,7.215594965424991,12.456227018196666,0.433273645034698,0.6912933844955426,0.13378896366018844,residual_temporal,False,et_leaf2,et_leaf1,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-et_leaf2_raw,raw_source,base_et_leaf2_res_et_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.1059047157338595,12.457302097206167,0.43317581414251627,0.6901445428579672,-0.06511489214982424,residual_temporal,False,et_leaf2,et_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-et_leaf3_log1p,raw_source,base_et_leaf2_res_et_leaf3,7,random_2fold_sequence_cv,1043,275,2,6.787922110968737,12.45998541957401,0.43293159820963567,0.6837898502639855,-1.3873048404653863,residual_temporal,True,et_leaf2,et_leaf3,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-rf_leaf2_raw,raw_source,base_et_leaf2_res_rf_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.233278754596089,12.465863590922929,0.43239642719758864,0.6870898127578547,0.09040795858585478,residual_temporal,False,et_leaf2,rf_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-et_leaf1_raw,raw_source,base_et_leaf3_res_et_leaf1,7,random_2fold_sequence_cv,1043,275,2,6.927589713314718,12.46732231301734,0.43226358051428637,0.6918109691007185,-0.6689248627204981,residual_temporal,False,et_leaf3,et_leaf1,84.0,959.0
