experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
residual_T7_raw_source_base-et_leaf3_res-rf_leaf2_raw,raw_source,base_et_leaf3_res_rf_leaf2,7,1043,275,5,6.264593143889803,10.781090350073454,0.5754530245894705,0.7492559360664723,0.14010783316110095,residual_temporal,False,et_leaf3,rf_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf2_res-rf_leaf2_raw,raw_source,base_et_leaf2_res_rf_leaf2,7,1043,275,5,6.13010485265226,10.803687777550802,0.5736714378560392,0.7688381754709904,0.12438372716458415,residual_temporal,False,et_leaf2,rf_leaf2,84.0,959.0
residual_T7_top30_source_base-et_leaf3_res-et_leaf3_raw,top30_source,base_et_leaf3_res_et_leaf3,7,294,275,5,6.109438539528047,10.822848745354095,0.5721578598996924,0.7702103228412338,0.043126224763413164,residual_temporal,False,et_leaf3,et_leaf3,84.0,210.0
residual_T7_top30_source_base-et_leaf2_res-et_leaf3_raw,top30_source,base_et_leaf2_res_et_leaf3,7,294,275,5,6.050802956363689,10.831943948899779,0.5714384658634284,0.7804494965523211,0.06811306614019721,residual_temporal,False,et_leaf2,et_leaf3,84.0,210.0
residual_T7_top30_source_base-et_leaf3_res-et_leaf2_raw,top30_source,base_et_leaf3_res_et_leaf2,7,294,275,5,6.1088986999051045,10.8320784824173,0.571427820267591,0.7688064395141514,0.13679647385399665,residual_temporal,False,et_leaf3,et_leaf2,84.0,210.0
residual_T7_top30_source_base-et_leaf2_res-et_leaf2_raw,top30_source,base_et_leaf2_res_et_leaf2,7,294,275,5,6.03596552908659,10.839115707787805,0.5708707824464302,0.7784132021580451,0.09935425439760052,residual_temporal,False,et_leaf2,et_leaf2,84.0,210.0
residual_T7_raw_source_base-et_leaf3_res-et_leaf2_raw,raw_source,base_et_leaf3_res_et_leaf2,7,1043,275,5,5.977812595127869,10.850199403271523,0.5699927090814219,0.7743042612734774,-0.23368789768642118,residual_temporal,False,et_leaf3,et_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf3_res-et_leaf3_raw,raw_source,base_et_leaf3_res_et_leaf3,7,1043,275,5,6.149133901102944,10.850871756434994,0.5699394149972392,0.7569810449785062,0.1741330412151466,residual_temporal,False,et_leaf3,et_leaf3,84.0,959.0
residual_T7_top30_source_base-et_leaf2_res-et_leaf1_raw,top30_source,base_et_leaf2_res_et_leaf1,7,294,275,5,6.022758568699216,10.855285508693678,0.5695894768581498,0.7828285392804594,0.14183307278253562,residual_temporal,False,et_leaf2,et_leaf1,84.0,210.0
residual_T7_raw_source_base-et_leaf3_res-hgb_slow_raw,raw_source,base_et_leaf3_res_hgb_slow,7,1043,275,5,6.166664785379506,10.861727158813874,0.5690785042764561,0.7426046565303944,-0.06635511842261149,residual_temporal,False,et_leaf3,hgb_slow,84.0,959.0
residual_T7_raw_source_base-et_leaf2_res-hgb_slow_raw,raw_source,base_et_leaf2_res_hgb_slow,7,1043,275,5,6.014954060854308,10.868396605265971,0.5685491427550462,0.7802746602810076,0.05771160946779207,residual_temporal,False,et_leaf2,hgb_slow,84.0,959.0
residual_T7_raw_source_base-et_leaf2_res-et_leaf1_raw,raw_source,base_et_leaf2_res_et_leaf1,7,1043,275,5,6.004061534583815,10.87066054553953,0.568369377378205,0.7807645480511237,-0.20875852033004966,residual_temporal,False,et_leaf2,et_leaf1,84.0,959.0
residual_T7_raw_source_base-et_leaf2_res-et_leaf3_raw,raw_source,base_et_leaf2_res_et_leaf3,7,1043,275,5,6.092210948615054,10.888006811999624,0.5669907760703448,0.7734756642912785,0.09787420096942306,residual_temporal,False,et_leaf2,et_leaf3,84.0,959.0
residual_T7_raw_source_base-et_leaf2_res-et_leaf2_raw,raw_source,base_et_leaf2_res_et_leaf2,7,1043,275,5,6.018763409083136,10.899432415163558,0.5660815210562449,0.7794443322466172,-0.06680956346202369,residual_temporal,False,et_leaf2,et_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf1_res-hgb_slow_raw,raw_source,base_et_leaf1_res_hgb_slow,7,1043,275,5,6.166016673708308,10.915972121994729,0.5647635937444422,0.7823086466056952,0.3358682605350339,residual_temporal,False,et_leaf1,hgb_slow,84.0,959.0
residual_T7_top30_source_base-et_leaf1_res-et_leaf2_raw,top30_source,base_et_leaf1_res_et_leaf2,7,294,275,5,6.166016673708315,10.91597212199475,0.5647635937444406,0.7823086466056952,0.33586826053503016,residual_temporal,False,et_leaf1,et_leaf2,84.0,210.0
residual_T7_top30_source_base-et_leaf1_res-et_leaf3_raw,top30_source,base_et_leaf1_res_et_leaf3,7,294,275,5,6.166016673708315,10.91597212199475,0.5647635937444406,0.7823086466056952,0.3358682605350302,residual_temporal,False,et_leaf1,et_leaf3,84.0,210.0
residual_T7_top30_source_base-et_leaf1_res-rf_leaf2_raw,top30_source,base_et_leaf1_res_rf_leaf2,7,294,275,5,6.166016673708314,10.91597212199475,0.5647635937444406,0.7823086466056952,0.33586826053502994,residual_temporal,False,et_leaf1,rf_leaf2,84.0,210.0
residual_T7_top30_source_base-et_leaf1_res-hgb_slow_raw,top30_source,base_et_leaf1_res_hgb_slow,7,294,275,5,6.166016673708314,10.91597212199475,0.5647635937444406,0.7823086466056952,0.33586826053504026,residual_temporal,False,et_leaf1,hgb_slow,84.0,210.0
direct_T7_tabular_et_leaf1_raw,tabular,et_leaf1,7,84,275,5,6.166016673708319,10.91597212199475,0.5647635937444406,0.7823086466056952,0.33586826053504154,direct_temporal,False,,,,
residual_T7_top30_source_base-et_leaf1_res-et_leaf1_raw,top30_source,base_et_leaf1_res_et_leaf1,7,294,275,5,6.166016673708314,10.91597212199475,0.5647635937444406,0.7823086466056952,0.33586826053503027,residual_temporal,False,et_leaf1,et_leaf1,84.0,210.0
