split_mode,feature_set,model,R2,RMSE,MAE,train_rows,test_rows
chronological,baseline,previous_step_persistence,0.3679764954109091,8.03427135435806,5.158585473725807,144,62
chronological,OSM_only,ridge,-0.2215368017224808,10.5477062660148,7.722414487485609,144,62
chronological,vehicle_IDD_only,extra_trees,-0.3987290178762096,12.02029522078506,10.461742551549174,144,62
chronological,engineered_all_without_resnet,extra_trees,-0.6186894618391018,12.771612369851114,11.379111057936893,144,62
chronological,OSM_only,extra_trees,-0.6793163394314383,12.77776409629562,11.3899612913702,144,62
chronological,vehicle_IDD_only,random_forest,-0.7059153510621424,13.298033909924214,11.499839199626042,144,62
chronological,OSM_only,random_forest,-0.7811393060841663,13.24325905590364,11.821647569588125,144,62
chronological,sensor_context_only,extra_trees,-0.8392333508196476,13.854981019686656,12.241758607734749,144,62
chronological,road_condition_only,extra_trees,-1.1021517833857208,14.29181920603951,12.502627169425011,144,62
chronological,baseline,train_mean,-1.2289147765904864,14.478395717451695,13.11466457777912,144,62
chronological,sensor_context_only,ridge,-1.249714823292451,15.556396715899735,12.488396222006244,144,62
chronological,sensor_context_only,random_forest,-1.3047355621915984,15.31696105453146,13.5974715829518,144,62
chronological,engineered_all_plus_resnet50,extra_trees,-1.3506410037568193,14.934549780761454,13.41730301474433,144,62
chronological,engineered_all_without_resnet,random_forest,-1.5626123761924546,15.834813976313365,14.159694081564812,144,62
chronological,resnet50_only,extra_trees,-1.6100560839278528,15.587662346028182,14.080545161693546,144,62
chronological,engineered_all_plus_resnet50,random_forest,-2.005011916400268,16.710688958686152,15.189962824259748,144,62
chronological,resnet50_only,random_forest,-2.146050798827459,17.01056682391274,15.49716456728826,144,62
chronological,road_condition_only,random_forest,-2.216405532610199,17.437749053467424,14.85893325122752,144,62
chronological,engineered_all_without_resnet,ridge,-2.363580330422594,17.857158670737768,14.512194735410477,144,62
chronological,engineered_all_plus_resnet50,ridge,-2.476325943530187,17.677688786145332,14.241888122267907,144,62
chronological,vehicle_IDD_only,ridge,-2.710592141220352,18.552146903100414,15.419852920493184,144,62
chronological,resnet50_only,ridge,-2.741553005091367,18.160091158718295,14.551439232282906,144,62
chronological,road_condition_only,ridge,-4.073706743210337,21.733168355317765,17.161425182954012,144,62
random,sensor_context_only,extra_trees,0.4499093156530777,18.993395885903663,11.980984436661204,144,62
random,sensor_context_only,random_forest,0.4314372339838501,19.301598399866577,11.961227276552169,144,62
random,sensor_context_only,ridge,0.3727742099405227,20.27330314148089,13.008425779292338,144,62
random,engineered_all_without_resnet,extra_trees,0.3678461912297073,20.34894837088874,11.991845137105106,144,62
random,engineered_all_without_resnet,ridge,0.346286712106624,20.716613506866707,14.203411284801536,144,62
random,engineered_all_without_resnet,random_forest,0.310573886204389,21.254862594538317,12.76010893037489,144,62
random,vehicle_IDD_only,random_forest,0.2480501834782661,22.2188093681672,13.057207825125673,144,62
random,OSM_only,extra_trees,0.2441778984974417,22.256733923379073,12.990772119841743,144,62
random,engineered_all_plus_resnet50,ridge,0.2303980337808019,22.456959135932763,14.035653841192204,144,62
random,OSM_only,random_forest,0.2076393217513157,22.79134569922541,12.876085683488572,144,62
random,vehicle_IDD_only,extra_trees,0.2024585514279599,22.881237252011495,12.887433421113162,144,62
random,vehicle_IDD_only,ridge,0.1830311096013469,23.198293429460495,13.975314171637862,144,62
random,engineered_all_plus_resnet50,extra_trees,0.1518521872516998,23.55589216898893,13.51568736740379,144,62
random,OSM_only,ridge,0.1503993206256105,23.571870864843135,13.943601696696549,144,62
random,road_condition_only,extra_trees,0.130488119405456,23.862181676268538,13.456771906908193,144,62
random,engineered_all_plus_resnet50,random_forest,0.103971823076792,24.220363131290767,14.148729136864166,144,62
random,resnet50_only,ridge,0.0906443534356619,24.37400804427017,14.105442705282131,144,62
random,road_condition_only,ridge,0.0548081874362539,24.958166436975652,15.43995411725408,144,62
random,resnet50_only,extra_trees,0.0542721328280936,24.86752331882125,13.931722572115437,144,62
random,road_condition_only,random_forest,0.0430675153316835,25.03829111974478,14.08336349503293,144,62
random,resnet50_only,random_forest,0.0243962800824296,25.269945715896178,14.382496353964124,144,62
random,baseline,train_mean,-0.0073237389683362,25.6765779965046,14.178817611053764,144,62
random,baseline,previous_step_persistence,-0.0874796672409389,26.66596240434929,12.287165715346774,144,62
