feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows
baseline,previous_step_persistence,Average,0.36797649541090915,4.001057142076956,13.318657407350464,144,62
OSM_only,ridge,Average,-0.22153680172248086,4.001057142076956,13.318657407350464,144,62
vehicle_IDD_only,extra_trees,Average,-0.3987290178762096,4.001057142076956,13.318657407350464,144,62
engineered_all_without_resnet,extra_trees,Average,-0.6186894618391015,4.001057142076956,13.318657407350464,144,62
OSM_only,extra_trees,Average,-0.6793163394314381,4.001057142076956,13.318657407350464,144,62
vehicle_IDD_only,random_forest,Average,-0.7059153510621424,4.001057142076956,13.318657407350464,144,62
OSM_only,random_forest,Average,-0.7811393060841667,4.001057142076956,13.318657407350464,144,62
sensor_context_only,extra_trees,Average,-0.8392333508196476,4.001057142076956,13.318657407350464,144,62
baseline,train_mean,Average,-1.2289147765904864,4.001057142076956,13.318657407350464,144,62
sensor_context_only,ridge,Average,-1.2497148232924513,4.001057142076956,13.318657407350464,144,62
sensor_context_only,random_forest,Average,-1.3047355621915984,4.001057142076956,13.318657407350464,144,62
engineered_all_plus_resnet50,extra_trees,Average,-1.3506410037568188,4.001057142076956,13.318657407350464,144,62
engineered_all_without_resnet,random_forest,Average,-1.5626123761924549,4.001057142076956,13.318657407350464,144,62
resnet50_only,extra_trees,Average,-1.6100560839278528,4.001057142076956,13.318657407350464,144,62
engineered_all_plus_resnet50,random_forest,Average,-2.005011916400268,4.001057142076956,13.318657407350464,144,62
resnet50_only,random_forest,Average,-2.146050798827458,4.001057142076956,13.318657407350464,144,62
engineered_all_without_resnet,ridge,Average,-2.363580330422594,4.001057142076956,13.318657407350464,144,62
engineered_all_plus_resnet50,ridge,Average,-2.4763259435301874,4.001057142076956,13.318657407350464,144,62
vehicle_IDD_only,ridge,Average,-2.710592141220352,4.001057142076956,13.318657407350464,144,62
resnet50_only,ridge,Average,-2.741553005091367,4.001057142076956,13.318657407350464,144,62
baseline,previous_step_persistence,PM10,0.4445365020169477,"[4.9689033  5.98957428 7.79315939 8.92086421 7.07954801 5.33291665
 4.90611863 4.42831797 4.41248229 6.41638528 5.73846669 4.71593045
 3.82883794 3.38008876 2.92232784 2.69072481 4.64542786 6.00249948
 3.31015753 3.47610894 3.48568501 3.45325933 3.6625518  3.93446311
 3.93700394 3.79077828 3.40913805 5.23623737 5.73912014 5.46046396
 5.13917417 4.67332858 4.07654042 3.62904946 3.46265794 3.43834586
 3.24597653 3.09354166 2.82488938 4.08411557 6.272515   7.09545309
 4.81559965 6.17575906 5.49454275 3.62315784 3.0757113  3.24345495
 3.38378486 3.42052628 3.45832329 3.40147027 3.40440891 3.35708207
 3.16701752 3.082207   3.21558704 3.60832371 3.46554469 3.05505046
 3.10161248 3.40293991]",16.047300564120555,144,62
