feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows
baseline,previous_step_persistence,Average,0.36797649541090915,8.03427135435806,5.158585473725807,144,62
OSM_only,ridge,Average,-0.22153680172248086,10.5477062660148,7.722414487485609,144,62
vehicle_IDD_only,extra_trees,Average,-0.39872901787620973,12.020295220785062,10.461742551549174,144,62
engineered_all_without_resnet,extra_trees,Average,-0.6186894618391018,12.771612369851114,11.379111057936893,144,62
OSM_only,extra_trees,Average,-0.6793163394314381,12.777764096295618,11.389961291370199,144,62
vehicle_IDD_only,random_forest,Average,-0.7059153510621424,13.298033909924214,11.499839199626043,144,62
OSM_only,random_forest,Average,-0.7811393060841667,13.243259055903643,11.821647569588123,144,62
sensor_context_only,extra_trees,Average,-0.8392333508196477,13.854981019686658,12.241758607734747,144,62
baseline,train_mean,Average,-1.2289147765904864,14.478395717451697,13.11466457777912,144,62
sensor_context_only,ridge,Average,-1.2497148232924513,15.556396715899737,12.488396222006244,144,62
sensor_context_only,random_forest,Average,-1.3047355621915981,15.31696105453146,13.5974715829518,144,62
engineered_all_plus_resnet50,extra_trees,Average,-1.350641003756819,14.934549780761456,13.41730301474433,144,62
engineered_all_without_resnet,random_forest,Average,-1.5626123761924546,15.834813976313363,14.159694081564812,144,62
resnet50_only,extra_trees,Average,-1.6100560839278528,15.58766234602818,14.080545161693546,144,62
engineered_all_plus_resnet50,random_forest,Average,-2.005011916400268,16.710688958686152,15.189962824259748,144,62
resnet50_only,random_forest,Average,-2.146050798827458,17.01056682391274,15.497164567288257,144,62
engineered_all_without_resnet,ridge,Average,-2.363580330422594,17.857158670737768,14.512194735410477,144,62
engineered_all_plus_resnet50,ridge,Average,-2.4763259435301874,17.677688786145332,14.241888122267909,144,62
vehicle_IDD_only,ridge,Average,-2.710592141220352,18.552146903100418,15.419852920493184,144,62
resnet50_only,ridge,Average,-2.741553005091367,18.160091158718295,14.551439232282906,144,62
baseline,previous_step_persistence,PM10,0.4445365020169477,10.46722442571344,6.726195945709678,144,62
OSM_only,ridge,PM10,0.19919877783236684,12.567998990612368,9.17810630559736,144,62
vehicle_IDD_only,extra_trees,PM10,-0.26701051066876524,15.808617164937,13.52496470013639,144,62
OSM_only,extra_trees,PM10,-0.2987110521147489,16.005160798787607,14.110171944185511,144,62
engineered_all_without_resnet,extra_trees,PM10,-0.37325129307884586,16.458065326621135,14.508570778835212,144,62
OSM_only,random_forest,PM10,-0.4231114835806329,16.75418224012426,14.744618731096407,144,62
vehicle_IDD_only,random_forest,PM10,-0.559826939296556,17.540500519359423,14.91386633385999,144,62
baseline,train_mean,PM10,-0.5841325641585051,17.67663255515185,15.74146564164964,144,62
engineered_all_plus_resnet50,extra_trees,PM10,-0.7085539829950984,18.357693986412205,16.349094475277898,144,62
sensor_context_only,extra_trees,PM10,-0.7128528759832928,18.380774375983414,16.17203327237594,144,62
resnet50_only,extra_trees,PM10,-0.8078220862306706,18.88346194777796,16.89299540051061,144,62
sensor_context_only,random_forest,PM10,-1.0079474611410828,19.901231244454,17.646993741338957,144,62
engineered_all_without_resnet,random_forest,PM10,-1.0144362265591296,19.9333611348001,17.76211289543713,144,62
engineered_all_plus_resnet50,random_forest,PM10,-1.072111094477663,20.216701162589096,18.211193134006283,144,62
resnet50_only,random_forest,PM10,-1.1139030564132963,20.419556575401536,18.429255337418443,144,62
engineered_all_plus_resnet50,ridge,PM10,-1.205502628402455,20.857274811134694,16.985611787261142,144,62
resnet50_only,ridge,PM10,-1.2597651283646107,21.112293987243273,16.835496969673777,144,62
sensor_context_only,ridge,PM10,-1.277086405248295,21.193053220554376,17.149382655832262,144,62
engineered_all_without_resnet,ridge,PM10,-1.439460777884415,21.93565936562733,17.586284793916395,144,62
vehicle_IDD_only,ridge,PM10,-1.5468420476491977,22.413247102119467,18.59866654378652,144,62
baseline,previous_step_persistence,PM2.5,0.2914164888048706,5.60131828300268,3.5909750017419353,144,62
vehicle_IDD_only,extra_trees,PM2.5,-0.5304475250836542,8.231973276633122,7.398520402961956,144,62
OSM_only,ridge,PM2.5,-0.6422723812773286,8.527413541417229,6.266722669373857,144,62
vehicle_IDD_only,random_forest,PM2.5,-0.8520037628277288,9.055567300489006,8.085812065392096,144,62
engineered_all_without_resnet,extra_trees,PM2.5,-0.8641276305993577,9.085159413081094,8.249651337038575,144,62
sensor_context_only,extra_trees,PM2.5,-0.9656138256560025,9.3291876633899,8.311483943093553,144,62
OSM_only,extra_trees,PM2.5,-1.0599216267481273,9.55036739380363,8.669750638554884,144,62
