feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,split_mode,seed,train_frac
sensor_context_only,extra_trees,Average,0.44990931565307773,18.993395885903666,11.980984436661204,144,62,random,42,0.7
sensor_context_only,random_forest,Average,0.43143723398385014,19.301598399866577,11.961227276552169,144,62,random,42,0.7
sensor_context_only,ridge,Average,0.37277420994052274,20.27330314148089,13.008425779292338,144,62,random,42,0.7
engineered_all_without_resnet,extra_trees,Average,0.36784619122970735,20.34894837088874,11.991845137105106,144,62,random,42,0.7
engineered_all_without_resnet,ridge,Average,0.346286712106624,20.716613506866707,14.203411284801536,144,62,random,42,0.7
engineered_all_without_resnet,random_forest,Average,0.310573886204389,21.254862594538317,12.76010893037489,144,62,random,42,0.7
vehicle_IDD_only,random_forest,Average,0.24805018347826618,22.2188093681672,13.057207825125673,144,62,random,42,0.7
OSM_only,extra_trees,Average,0.24417789849744176,22.256733923379073,12.990772119841743,144,62,random,42,0.7
engineered_all_plus_resnet50,ridge,Average,0.23039803378080198,22.456959135932763,14.035653841192204,144,62,random,42,0.7
OSM_only,random_forest,Average,0.20763932175131572,22.79134569922541,12.876085683488572,144,62,random,42,0.7
vehicle_IDD_only,extra_trees,Average,0.20245855142795993,22.881237252011495,12.887433421113162,144,62,random,42,0.7
vehicle_IDD_only,ridge,Average,0.1830311096013469,23.198293429460495,13.975314171637862,144,62,random,42,0.7
engineered_all_plus_resnet50,extra_trees,Average,0.15185218725169985,23.555892168988926,13.51568736740379,144,62,random,42,0.7
OSM_only,ridge,Average,0.15039932062561057,23.571870864843135,13.943601696696547,144,62,random,42,0.7
road_condition_only,extra_trees,Average,0.13048811940545607,23.862181676268534,13.456771906908193,144,62,random,42,0.7
engineered_all_plus_resnet50,random_forest,Average,0.10397182307679204,24.220363131290767,14.148729136864166,144,62,random,42,0.7
resnet50_only,ridge,Average,0.09064435343566196,24.37400804427017,14.105442705282131,144,62,random,42,0.7
road_condition_only,ridge,Average,0.054808187436253986,24.958166436975652,15.43995411725408,144,62,random,42,0.7
resnet50_only,extra_trees,Average,0.05427213282809362,24.86752331882125,13.931722572115437,144,62,random,42,0.7
road_condition_only,random_forest,Average,0.043067515331683515,25.03829111974478,14.08336349503293,144,62,random,42,0.7
resnet50_only,random_forest,Average,0.024396280082429667,25.269945715896174,14.382496353964125,144,62,random,42,0.7
baseline,train_mean,Average,-0.007323738968336269,25.676577996504598,14.178817611053763,144,62,random,42,0.7
baseline,previous_step_persistence,Average,-0.08747966724093892,26.66596240434929,12.287165715346774,144,62,random,42,0.7
sensor_context_only,extra_trees,PM10,0.43562178905778415,21.419736735306216,14.069379377230014,144,62,random,42,0.7
sensor_context_only,random_forest,PM10,0.4212429931635858,21.690878437263127,14.241871361971521,144,62,random,42,0.7
sensor_context_only,ridge,PM10,0.3612962713401239,22.786558366833674,15.168072025124347,144,62,random,42,0.7
engineered_all_without_resnet,extra_trees,PM10,0.35851669105339246,22.836087049580197,14.186577605654978,144,62,random,42,0.7
engineered_all_without_resnet,ridge,PM10,0.32202404826041986,23.47665155796132,16.376957985748525,144,62,random,42,0.7
engineered_all_without_resnet,random_forest,PM10,0.29790134262646284,23.890656317449395,15.195341080586767,144,62,random,42,0.7
OSM_only,extra_trees,PM10,0.22905461467203925,25.034609187824827,15.337019890180501,144,62,random,42,0.7
vehicle_IDD_only,random_forest,PM10,0.22009659839193707,25.17963421080453,15.623076556025042,144,62,random,42,0.7
engineered_all_plus_resnet50,ridge,PM10,0.2161367523418427,25.243476240857976,16.467249409830366,144,62,random,42,0.7
OSM_only,random_forest,PM10,0.18979359796474726,25.664147623825198,15.28825940384367,144,62,random,42,0.7
vehicle_IDD_only,extra_trees,PM10,0.17370383240534815,25.91772507355937,15.458382776246639,144,62,random,42,0.7
OSM_only,ridge,PM10,0.1499749502628801,26.287232820774182,16.0526296789042,144,62,random,42,0.7
engineered_all_plus_resnet50,extra_trees,PM10,0.148782816316395,26.305659879307274,15.978778972987561,144,62,random,42,0.7
vehicle_IDD_only,ridge,PM10,0.12105296041128222,26.730701938590226,16.570601677098995,144,62,random,42,0.7
road_condition_only,extra_trees,PM10,0.1198112776030753,26.749576420003816,15.838105114515399,144,62,random,42,0.7
resnet50_only,ridge,PM10,0.09830233594623505,27.07443994964326,16.161062771953507,144,62,random,42,0.7
engineered_all_plus_resnet50,random_forest,PM10,0.09495409230480634,27.124660676227744,16.771899596150686,144,62,random,42,0.7
resnet50_only,extra_trees,PM10,0.05520719218788517,27.713877868291448,16.40961593212217,144,62,random,42,0.7
road_condition_only,random_forest,PM10,0.027569014726431806,28.116315227104764,16.632538486775257,144,62,random,42,0.7
resnet50_only,random_forest,PM10,0.016703131557035955,28.27296382355595,17.022113423879524,144,62,random,42,0.7
baseline,train_mean,PM10,-0.014641784005056113,28.720062520832833,16.889056488881725,144,62,random,42,0.7
road_condition_only,ridge,PM10,-0.022642387828811117,28.833071202543877,18.499036339705484,144,62,random,42,0.7
baseline,previous_step_persistence,PM10,-0.08628514736614346,29.71672396840086,14.190598845725805,144,62,random,42,0.7
sensor_context_only,extra_trees,PM2.5,0.4641968422483713,16.567055036501113,9.892589496092395,144,62,random,42,0.7
sensor_context_only,random_forest,PM2.5,0.44163147480411447,16.912318362470028,9.680583191132818,144,62,random,42,0.7
sensor_context_only,ridge,PM2.5,0.3842521485409216,17.76004791612811,10.848779533460329,144,62,random,42,0.7
engineered_all_without_resnet,extra_trees,PM2.5,0.37717569140602225,17.86180969219728,9.797112668555233,144,62,random,42,0.7
engineered_all_without_resnet,ridge,PM2.5,0.3705493759528281,17.956575455772093,12.029864583854545,144,62,random,42,0.7
engineered_all_without_resnet,random_forest,PM2.5,0.3232464297823152,18.619068871627235,10.324876780163013,144,62,random,42,0.7
vehicle_IDD_only,random_forest,PM2.5,0.2760037685645953,19.25798452552987,10.491339094226301,144,62,random,42,0.7
OSM_only,extra_trees,PM2.5,0.25930118232284427,19.478858658933316,10.644524349502984,144,62,random,42,0.7
vehicle_IDD_only,ridge,PM2.5,0.24500925879141155,19.665884920330765,11.38002666617673,144,62,random,42,0.7
engineered_all_plus_resnet50,ridge,PM2.5,0.24465931521976125,19.67044203100755,11.604058272554044,144,62,random,42,0.7
vehicle_IDD_only,extra_trees,PM2.5,0.23121327045057172,19.844749430463615,10.316484065979683,144,62,random,42,0.7
OSM_only,random_forest,PM2.5,0.22548504553788418,19.91854377462562,10.463911963133476,144,62,random,42,0.7
engineered_all_plus_resnet50,extra_trees,PM2.5,0.1549215581870047,20.806124458670578,11.05259576182002,144,62,random,42,0.7
OSM_only,ridge,PM2.5,0.15082369098834103,20.856508908912087,11.834573714488895,144,62,random,42,0.7
road_condition_only,extra_trees,PM2.5,0.14116496120783684,20.974786932533256,11.075438699300987,144,62,random,42,0.7
road_condition_only,ridge,PM2.5,0.1322587627013191,21.083261671407428,12.380871894802677,144,62,random,42,0.7
engineered_all_plus_resnet50,random_forest,PM2.5,0.11298955384877774,21.316065586353794,11.525558677577648,144,62,random,42,0.7
resnet50_only,ridge,PM2.5,0.08298637092508887,21.67357613889708,12.049822638610756,144,62,random,42,0.7
road_condition_only,random_forest,PM2.5,0.05856601593693522,21.960267012384797,11.534188503290602,144,62,random,42,0.7
resnet50_only,extra_trees,PM2.5,0.053337073468302076,22.021168769351053,11.453829212108705,144,62,random,42,0.7
resnet50_only,random_forest,PM2.5,0.03208942860782338,22.266927608236397,11.742879284048728,144,62,random,42,0.7
baseline,train_mean,PM2.5,-5.693931616423953e-06,22.633093472176363,11.468578733225803,144,62,random,42,0.7
baseline,previous_step_persistence,PM2.5,-0.08867418711573438,23.61520084029772,10.383732584967742,144,62,random,42,0.7
