model,split_col,train_name,eval_name,PM2.5_R2,PM10_R2,Avg_R2,PM2.5_RMSE,PM10_RMSE,Avg_RMSE
train_mean,split_random_forecast,train,test,-1.704692840576172e-05,-1.6927719116210938e-05,-1.6987323760986328e-05,60.661924966365845,149.00464023814828,104.83328260225707
persistence,split_random_forecast,train,test,0.7678080859608232,0.8717172850643243,0.8197626855125737,29.23048654193675,53.367906615160415,41.29919657854858
ridge,split_random_forecast,train,test,0.8054790876875051,0.9018171382915131,0.853648112989509,26.75442658264597,46.688931983725915,36.72167928318594
extratrees,split_random_forecast,train,test,0.8743171295733674,0.9426559733686374,0.9084865514710023,21.50554949785384,35.68126057451197,28.5934050361829
train_mean,split_twofold_forecast,fold1_train,fold1_test,-0.0003973245620727539,-0.0002434253692626953,-0.0003203749656677246,60.15893257005771,146.68892468417647,103.42392862711709
persistence,split_twofold_forecast,fold1_train,fold1_test,0.7390918676877007,0.8601286450127792,0.79961025635024,30.722578676714797,54.8540711189407,42.78832489782775
ridge,split_twofold_forecast,fold1_train,fold1_test,0.7968962102467954,0.8922341427403595,0.8445651764935774,27.106464153501733,48.14875570125358,37.627609927377655
extratrees,split_twofold_forecast,fold1_train,fold1_test,0.8518553403233745,0.930449458183942,0.8911523992536583,23.150312478503412,38.68073635300302,30.915524415753218
train_mean,split_chrono_forecast,train,test,-0.15175724029541016,-12.406208992004395,-6.278983116149902,54.736145774952725,114.18382674031598,84.45998625763436
persistence,split_chrono_forecast,train,test,0.27924304635180386,0.21210552085878032,0.2456742836052921,43.30002888090523,27.681245205302147,35.49063704310369
ridge,split_chrono_forecast,train,test,0.44658379397326453,0.09721654400636337,0.27190016898981395,37.94195475942334,29.630800853007365,33.786377806215356
extratrees,split_chrono_forecast,train,test,0.32268988623205586,0.2615805001085676,0.2921351931703117,41.974694683388634,26.79804870802921,34.386371695708924
