feature_group,model,n_features,mean_R2,std_R2,mean_RMSE,std_RMSE,mean_MAE,std_MAE,folds
mean_baseline,mean_baseline,0,-0.0702684834464713,0.06902993105524521,44.862938812552244,14.765719082560578,31.516467807284165,8.73876074322009,5
tabular_plus_calendar,extra_trees,10,-0.23732168683017751,0.7416798725677463,46.2082261370288,18.47143941934404,33.875573724381084,15.725284874030253,5
calendar_context_only,extra_trees,6,-0.24646731906575314,0.4780900830179125,48.1944038785312,18.51930214617776,35.62148609110592,14.121078027411109,5
tabular_plus_calendar,random_forest,10,-0.3591887319847468,0.9054608267256217,46.5632558873145,18.958199822353283,34.01815968462804,17.121068399673696,5
calendar_context_only,random_forest,6,-0.4472512024830892,0.6546575695444086,50.706832855893815,18.789047955227463,38.29161926985611,16.31778818812138,5
full,extra_trees,107,-0.48167179720994274,0.8877838684919992,51.09805112411606,21.90651539562289,40.080502960244594,21.066414622097756,5
full,random_forest,107,-0.4840079480061249,0.9988790262587529,48.89572059489425,20.307636591574102,36.59804453349691,19.420951292986445,5
yolo_plus_tabular,random_forest,49,-0.5743653279588858,1.406306783830688,50.92063650725631,26.07709738583186,36.24983852694404,22.29026380231241,5
yolo_road_tabular_no_calendar,random_forest,101,-0.5833147683999419,1.3815484393992685,51.13981192671439,25.68097289639163,36.33102742657448,21.89881506766528,5
yolo_plus_tabular,extra_trees,49,-0.7452639930452053,1.4334150646320842,54.348821686754356,24.76712079630464,38.861832151021005,21.687856759303706,5
road_only,extra_trees,52,-0.7701382464660237,1.0244508026768644,52.40017970678758,10.889102272974332,37.99347117411138,11.01647796739412,5
yolo_road_tabular_no_calendar,extra_trees,101,-0.7799969355960448,1.5370961400493257,54.6691307936011,25.729223834540047,39.07356676135216,22.482938034556508,5
road_plus_tabular,random_forest,56,-0.8932716273197876,2.048233955548968,54.31747746686663,30.800366585440305,38.14189497464481,24.78753101493527,5
road_plus_tabular,extra_trees,56,-0.8984092862269227,1.7923687159226414,56.141133259035804,28.64070493173769,38.75490551166168,23.085312069567696,5
tabular_core_only,extra_trees,4,-0.9113202279559693,1.7128663178129315,56.21247003574952,27.54860497857193,38.32075305536575,21.56819385184336,5
road_only,random_forest,52,-0.9423094452906671,1.2585055387538484,53.921768633305206,10.971933000904956,39.163296912117374,11.747669499377682,5
tabular_core_only,random_forest,4,-0.9825870329303251,2.1292611055794355,55.09808732691319,30.871533185455412,38.400933339747056,24.803405262852237,5
yolo_plus_road,random_forest,97,-1.2939473896555669,1.9979769378148362,55.09604551399034,19.94133978446842,39.12411631699314,18.959286079988104,5
yolo_only,random_forest,45,-1.4146194102461795,2.2398755072622585,55.33200983576876,19.427497768859286,39.53761293114153,18.508094439139725,5
yolo_only,extra_trees,45,-1.4851392711726408,2.177008372832927,57.31558138398653,21.15747494168961,41.3536489645231,19.18752581712129,5
yolo_plus_road,extra_trees,97,-1.5409631307124634,2.2237594643081176,58.16042963906714,23.263352610467823,42.25594475554571,21.457759960070337,5
