cv_fold,feature_group,model,split,n_features,R2,RMSE,MAE
1,mean_baseline,mean_baseline,val,0,-0.06008428991022785,44.558316425971846,37.303613661274454
1,mean_baseline,mean_baseline,test,0,-0.053929154468174145,53.48334680111478,33.56333640154416
1,tabular_core_only,random_forest,val,4,-5.375112181700296,109.27038914146681,84.2816963298357
1,tabular_core_only,random_forest,test,4,-0.32645516981546296,60.00109210454674,37.58623006338069
1,tabular_core_only,extra_trees,val,4,-4.755261220499121,103.8224072102998,80.30992147919639
1,tabular_core_only,extra_trees,test,4,-0.29056523087687114,59.183800109738236,36.071771598003686
1,calendar_context_only,random_forest,val,6,0.12025657838401549,40.59163904978589,33.89689563794307
1,calendar_context_only,random_forest,test,6,-0.3303187152504854,60.08841069387744,36.09759393507825
1,calendar_context_only,extra_trees,val,6,-0.27280615864692415,48.82471400511593,42.94089258852785
1,calendar_context_only,extra_trees,test,6,-0.3811521535590703,61.225681697067365,37.32073463703296
1,tabular_plus_calendar,random_forest,val,10,-1.4018099589799164,67.06993642365687,53.55413390698693
1,tabular_plus_calendar,random_forest,test,10,-0.32471488005443616,59.9617189088873,37.38219602172642
1,tabular_plus_calendar,extra_trees,val,10,-1.6458123028668958,70.39439646641672,57.832196614667296
1,tabular_plus_calendar,extra_trees,test,10,-0.3090209677191853,59.60547708017867,36.89153248677007
1,yolo_only,random_forest,val,45,-3.021009702608076,86.7812965834404,69.78275967903559
1,yolo_only,random_forest,test,45,-0.29811880844572625,59.35674649991314,35.923738672217645
1,yolo_only,extra_trees,val,45,-4.457379154492554,101.0998794802396,82.03491752706029
1,yolo_only,extra_trees,test,45,-0.3132253030260448,59.70112127496094,36.07278635916754
1,road_only,random_forest,val,52,-0.6703627925673981,55.93246734841214,48.39454853878789
1,road_only,random_forest,test,52,-0.18856607982109996,56.796886978933266,35.569228730824065
1,road_only,extra_trees,val,52,-0.4371830419729945,51.88174993260374,44.53752163508893
1,road_only,extra_trees,test,52,-0.17644684641764785,56.50657986064389,34.92618641459359
1,yolo_plus_road,random_forest,val,97,-3.195305636916168,88.64216950816478,71.44542452284473
1,yolo_plus_road,random_forest,test,97,-0.27526759749731444,58.83198874179548,35.1119010892773
1,yolo_plus_road,extra_trees,val,97,-3.692290807224766,93.74563042580903,75.99042030906634
1,yolo_plus_road,extra_trees,test,97,-0.29390762502498835,59.260389680307945,35.58462014070054
1,yolo_plus_tabular,random_forest,val,49,-5.6301192716071515,111.43439116970889,90.6408915282543
1,yolo_plus_tabular,random_forest,test,49,-0.30967003875995847,59.62025277718961,37.1999201329981
