feature_group,model,rows,unique_dates,R2,RMSE,MAE
tabular_plus_calendar,extra_trees,26678,20,-0.1748043554061134,50.75524486296525,34.9251241920601
tabular_plus_calendar,random_forest,26678,20,-0.20018598162491807,51.300598076709726,35.13319071428381
calendar_context_only,extra_trees,26678,20,-0.23107465570073105,51.9565551589253,35.950218729123684
full,random_forest,26678,20,-0.29812073853436916,53.35261338542488,37.07366009896944
road_only,extra_trees,26678,20,-0.32322177190475077,53.86596844792417,38.38853474076989
calendar_context_only,random_forest,26678,20,-0.3398350844922011,54.20306265208139,38.27354112376543
road_only,random_forest,26678,20,-0.39929128190428287,55.39265957923574,39.59380640692781
full,extra_trees,26678,20,-0.40769656689710265,55.55877724479166,40.28614037320345
yolo_plus_tabular,random_forest,26678,20,-0.5058594429748844,57.46327468520334,37.41285765850281
yolo_road_tabular_no_calendar,random_forest,26678,20,-0.5061836678887803,57.469460528983625,37.441525877704365
yolo_plus_road,random_forest,26678,20,-0.5840250170657673,58.93579842992564,39.65447431712396
yolo_only,random_forest,26678,20,-0.5874321340540549,58.99914758693428,40.02509916243913
yolo_plus_tabular,extra_trees,26678,20,-0.6501676146407178,60.1536775065227,40.132485903992595
yolo_road_tabular_no_calendar,extra_trees,26678,20,-0.6844231757172217,60.77483066335888,40.35392127396188
yolo_only,extra_trees,26678,20,-0.7149606972293212,61.32326068130858,41.70513685009888
tabular_core_only,extra_trees,26678,20,-0.7869476891582712,62.59707971920237,39.423017148146236
road_plus_tabular,random_forest,26678,20,-0.7880527782962445,62.61643245730672,39.59391477937487
yolo_plus_road,extra_trees,26678,20,-0.7990889849784291,62.80937554505554,42.67661857324149
road_plus_tabular,extra_trees,26678,20,-0.8040980368567401,62.89675219462651,39.88900686555415
tabular_core_only,random_forest,26678,20,-0.8346429288046793,63.42696474568745,39.84333225501942
