embedding_kind,target,target_mode,model,pca_components,alpha,model_label,n_dates,mean_RMSE,median_RMSE,std_RMSE,mean_MAE,median_MAE,mean_R2,median_R2,mean_Spearman,median_Spearman,positive_spearman_dates,negative_spearman_dates,min_Spearman,max_Spearman
none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,20,44.21714974281453,24.166497523651007,42.89841867455707,37.184212431805726,19.51941712672592,-3.632788867948259,-0.9743997161748131,,,0,0,,
front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,20,45.297612397737176,26.12531283776736,40.428726251130925,37.97571670028634,21.51941837389814,-4.000216872834441,-1.183163002202245,0.019331941604354565,-0.0025411919705060617,10,10,-0.17592066904257903,0.33592704547819446
front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,20,45.31085019994201,26.157171653738473,40.4140828370015,37.985160087837386,21.541652211327097,-4.004666962494806,-1.1850056097581965,0.019491417000485685,-0.0024016925790092845,10,10,-0.17589841298681494,0.3360786390962949
front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,20,45.794113039899216,27.86147624319324,40.17077384181254,38.42445490409092,22.62076050508974,-4.2203878793479515,-1.2096348025419075,0.03080343811242849,0.005037733136916713,10,10,-0.21006131286915763,0.28588704196057535
front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,20,45.826002735933784,27.937677847727826,40.147597761433396,38.44702254664385,22.669327613953477,-4.232019912231526,-1.2133185216760731,0.031075260241569175,0.0053069222351346595,10,10,-0.2106446554416526,0.2851028134401871
front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,20,46.33501526897762,28.80195912324396,39.8463320391131,38.85450453927868,23.29903074595454,-4.381230010263681,-1.3226533418340636,0.024757020296702043,0.00819531839292386,11,9,-0.1896048620577243,0.2753118483658635
front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,20,46.397968982672936,28.9285962389533,39.80730748313066,38.898921040437884,23.381289797012837,-4.403182370307367,-1.333269667500657,0.024909601781107012,0.007793711470277787,11,9,-0.18874582480913513,0.27346907297502043
mean,PM2.5,log1p,ridge,64.0,1000.0,mean_log1p_pca64_a1000,20,45.73991095024566,29.43534772275127,39.91586681741979,38.34964285973634,24.78698594303593,-4.239518117826999,-1.185435393994727,0.048498984111034496,0.017264958661331972,12,8,-0.12870665150715865,0.2992837074833615
mean,PM2.5,log1p,ridge,64.0,100.0,mean_log1p_pca64_a100,20,45.75950517590056,29.495275909289354,39.8987388490183,38.36321719452012,24.832454943030687,-4.24735837494107,-1.1896012554789068,0.048596595920542135,0.01761953511587999,12,8,-0.12822100091798733,0.29803904645215595
rear,PM2.5,log1p,ridge,64.0,1000.0,rear_log1p_pca64_a1000,20,45.740613880629844,29.527129414349012,39.586547676885395,38.36101549192647,24.715287656952288,-4.247760104865644,-1.31495158090686,0.03681376337175828,0.009644071697089125,12,8,-0.1626593953139833,0.36804267600534646
rear,PM2.5,log1p,ridge,64.0,100.0,rear_log1p_pca64_a100,20,45.75973398377515,29.58213455431178,39.569792197717746,38.37438562973674,24.755699973625035,-4.25565183150127,-1.3189222258048998,0.03685668559084422,0.009800277685125971,12,8,-0.16260207053263304,0.36761341045190965
rear,PM2.5,log1p,ridge,128.0,1000.0,rear_log1p_pca128_a1000,20,45.934354515216924,30.51012291909395,39.112984432112015,38.387539190799544,25.194005036872724,-4.350433562888129,-1.3380144641286194,0.053982969531603066,0.03003156040204418,12,8,-0.13450968978886596,0.3609429637055805
mean,PM2.5,log1p,ridge,128.0,1000.0,mean_log1p_pca128_a1000,20,46.15453014730999,30.593304963637493,39.56300139582625,38.77634073400598,25.691851825513652,-4.431783405531519,-1.2672875817873983,0.05576020997105306,0.03659872138368608,12,8,-0.1277047553877793,0.3105507743394197
rear,PM2.5,log1p,ridge,128.0,100.0,rear_log1p_pca128_a100,20,45.96681369995088,30.598229144658216,39.084016310679026,38.40731534605875,25.247985064976458,-4.363581104124936,-1.3489494762755374,0.05413866965256518,0.030849395216705464,12,8,-0.13404974788315813,0.35991288327678156
mean,PM2.5,log1p,ridge,128.0,100.0,mean_log1p_pca128_a100,20,46.193591458523734,30.689827290823903,39.53295597208863,38.80501271442913,25.760609554029706,-4.447251986226939,-1.2747866380249497,0.055858594272337234,0.036633567403655934,12,8,-0.1286343897779307,0.3092112437128844
