heldout_date,train_rows,test_rows,embedding_kind,target,target_mode,model,pca_components,alpha,model_label,MAE,RMSE,R2,Pearson,Spearman
2022-10-22,24956,1722,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,18.892320277229523,20.57730323609533,-3.205824106100401,,
2022-10-24,25037,1641,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,73.10425998881988,96.66098153626555,-1.0774631480903962,,
2022-10-25,25547,1131,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,14.64595240297246,16.54331737458573,-1.25077128033475,,
2022-10-26,24473,2205,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,17.79082252833844,20.071060354659707,-0.6050019532645023,,
2023-01-28,25558,1120,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,13.29843340319861,15.025199439736303,-1.2826533239606093,,
2023-01-30,25407,1271,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,14.570888324048294,17.262545645790134,-0.0817792127207595,,
2023-02-01,25310,1368,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,7.098622684992375,9.159523934993253,-0.87133628425923,,
2023-02-06,25256,1422,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,20.14651397622232,27.047720711895213,-0.04888960428433453,,
2023-02-07,25292,1386,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,15.81930815197753,17.06222884276265,-4.266474506794024,,
2023-02-08,25324,1354,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,15.367725064009909,18.661949169498584,-0.07054907989018533,,
2023-12-21,25970,708,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,79.48675003060373,87.13682135749971,-4.956642056644508,,
2023-12-22,25942,736,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,74.35956549620599,77.2405750661843,-12.659873960335132,,
2023-12-23,26242,436,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,187.39335084416564,190.02255176324135,-34.995428437874985,,
2023-12-29,26269,409,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,45.30830866617737,50.449903742668276,-4.169479086541,,
2024-03-01,25588,1090,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,9.652780429617817,15.146868890343454,-0.007645437300365376,,
2024-03-02,25418,1260,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,11.05375629752002,21.2852743354068,-0.004371602023045096,,
2024-03-03,24739,1939,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,34.48466866215194,56.66447181377939,-0.5344970435537733,,
2024-03-06,25066,1612,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,25.715184395685636,44.776712814436976,-0.3734725472335243,,
2024-07-05,24560,2118,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,34.65507738464595,37.01541018657041,-2.181473280065716,,
2024-07-09,24928,1750,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,30.83995962753105,46.53257463987738,-0.01215140769393619,,
2022-10-22,24956,1722,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,19.348962599874262,21.81307511715701,-3.7261552160202562,-0.02833412311118948,-0.036843670984099845
2022-10-22,24956,1722,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,19.33638587132533,21.792153453164396,-3.7170935306090342,-0.028705914477946824,-0.037413685661098324
2022-10-22,24956,1722,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,19.335276940698638,21.812528530703702,-3.7259183654122436,-0.033002867259811705,-0.05208505182868681
2022-10-22,24956,1722,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,19.31821127338473,21.782324502741524,-3.7128393734676424,-0.03332008580038067,-0.052550389634309046
2022-10-22,24956,1722,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,19.115608815496156,21.559838268600306,-3.617056488316628,0.04907798181829285,0.042651470918325274
2022-10-22,24956,1722,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,19.101536117061045,21.527002671469752,-3.6030036592812964,0.047483847166399605,0.04034221455917176
2022-10-24,25037,1641,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,77.98832747592135,101.83062884022941,-1.305620252659971,-0.16311113600629587,-0.17292635565403547
2022-10-24,25037,1641,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,77.97497648579595,101.81818505563828,-1.3050567897983538,-0.16400022144681836,-0.1739251887793682
2022-10-24,25037,1641,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,78.38741123219138,101.83813216177916,-1.3059600413401902,-0.14660566768822184,-0.1567948768906064
2022-10-24,25037,1641,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,78.36611018204395,101.82592318885564,-1.3054071695325589,-0.1478925676072447,-0.15802794503980191
2022-10-24,25037,1641,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,78.48535658439849,101.96633475789335,-1.3117695773131364,-0.1930528393141868,-0.18874582480913513
2022-10-24,25037,1641,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,78.45834706013618,101.95112518686545,-1.3110799692907698,-0.19371122621185158,-0.1896048620577243
2022-10-25,25547,1131,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,13.238503829082243,15.843564421840911,-1.064390966856422,0.021656669564400502,0.016901246665127496
2022-10-25,25547,1131,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,13.232880592625015,15.831580646493501,-1.0612692146061362,0.021805285668616687,0.01657805544093443
2022-10-25,25547,1131,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,13.442409691222176,16.058100897149888,-1.120677002011956,0.08957733531033,0.11125746952423883
2022-10-25,25547,1131,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,13.4301199666048,16.03227965073074,-1.113862435551256,0.08931133066061979,0.11071077608809748
2022-10-25,25547,1131,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,14.098471698137072,16.92119942258794,-1.3547697576881776,0.09445172470992046,0.11448180647525165
2022-10-25,25547,1131,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,14.055530105182608,16.84722734917549,-1.3342267143773574,0.09402885311829468,0.11366444122612945
2022-10-26,24473,2205,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,17.140012630421875,20.049968960768766,-0.6016305377552256,0.03439246402657126,0.03433114840694674
2022-10-26,24473,2205,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,17.13107394825299,20.032660342091674,-0.5988664390729397,0.03407894076561888,0.03387833170218776
2022-10-26,24473,2205,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,17.077916388830328,20.08140371808088,-0.6066566138342575,0.08000132842763823,0.05946096340202075
2022-10-26,24473,2205,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,17.063594679377196,20.050412254508704,-0.6017013608713355,0.07949591768349468,0.0587649605874166
2022-10-26,24473,2205,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,18.57086748284161,21.761734398490344,-0.8867829470422934,-0.01883209778025139,-0.03620265596572898
2022-10-26,24473,2205,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,18.4934597569781,21.648309740679,-0.8671659450287683,-0.017969734864051536,-0.03569320414712098
2023-01-28,25558,1120,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,17.193798182267486,19.723339112103858,-2.9333296979999144,0.16617853513143244,0.21290619451274523
2023-01-28,25558,1120,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,17.17092630626169,19.689648542444576,-2.9199036814182233,0.16720101357238898,0.21389535058488596
2023-01-28,25558,1120,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,18.860184465894182,21.8194218165366,-3.813776739338425,0.14996246197337873,0.22393709970649245
2023-01-28,25558,1120,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,18.799034322782397,21.731218045976465,-3.7749365660682113,0.15129537400678628,0.22541465653751333
2023-01-28,25558,1120,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,19.67935734177176,22.844681385920676,-4.276788388119629,0.14701394539028076,0.23046374386133878
2023-01-28,25558,1120,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,19.588388330036114,22.70905063976209,-4.214316938843828,0.14845228388257,0.23136571179224102
2023-01-30,25407,1271,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,14.680192248064962,18.397345433814245,-0.22868138243420733,-0.10038736479883394,-0.17589841298681494
