epoch,train_loss,val_avg_RMSE,val_avg_R2,test_avg_RMSE,test_avg_R2,val_PM2.5_RMSE,val_PM2.5_R2,test_PM2.5_RMSE,test_PM2.5_R2,test_PM2.5_Spearman,val_PM10_RMSE,val_PM10_R2,test_PM10_RMSE,test_PM10_R2,test_PM10_Spearman,val_AQI_RMSE,val_AQI_R2,test_AQI_RMSE,test_AQI_R2,test_AQI_Spearman
1,0.03395352879195641,104.52702082071403,-0.8268072207768759,89.8367467625671,-0.6486543814341227,41.63103196253517,-0.2668166160583496,48.94148590887643,-0.3974560499191284,-0.30525396851077763,150.67028624201257,-1.461853265762329,107.30549718706168,-0.8115158081054688,-0.3154518946911702,121.27974425759439,-0.7517517805099487,113.2632571917632,-0.736991286277771,-0.3748797040618139
2,0.011346042211549959,121.26481914568463,-1.4540019830067952,123.44653444428828,-2.125931898752848,48.057018746289806,-0.6880800724029541,67.6599017490234,-1.6708319187164307,-0.35064438781095336,173.50636020402825,-2.264658212661743,151.70368424168214,-2.620682716369629,-0.3971624399671733,142.2310784867358,-1.4092676639556885,150.97601734215934,-2.0862810611724854,-0.40372124435342893
3,0.0075007918536018564,116.86159532447812,-1.2829185724258423,128.44337654919403,-2.402897834777832,46.40963529318966,-0.5743299722671509,72.09667581839332,-2.0325944423675537,-0.3358885398691909,169.22013792136266,-2.105353355407715,156.0030235584394,-2.8288135528564453,-0.38560898291682993,134.955012758882,-1.1690723896026611,157.23043027074942,-2.347285509109497,-0.38307938215471
4,0.005527945547435475,116.48105869593962,-1.269721269607544,127.66276072367263,-2.367286205291748,46.100849559179764,-0.5534498691558838,72.26302866957626,-2.046604871749878,-0.3125953690304656,170.78106415817885,-2.1629064083099365,153.71669481752787,-2.7174084186553955,-0.3827136501478129,132.56126237046024,-1.0928075313568115,157.00855868391378,-2.3378453254699707,-0.36604612445496165
5,0.004430415864835561,114.95648965883521,-1.209795633951823,125.86570559448619,-2.259756882985433,45.33257098585409,-0.5021042823791504,70.04240136004226,-1.862238883972168,-0.335481237524621,169.1122385244486,-2.1013944149017334,152.98073561318105,-2.6818974018096924,-0.39851862768849167,130.42465946620294,-1.025888204574585,154.57397981023522,-2.2351343631744385,-0.38509141661189494
6,0.003718962926752228,112.82629946283616,-1.130154291788737,125.6877791795331,-2.251755475997925,44.393834031315656,-0.4405379295349121,70.00077775795602,-1.8588383197784424,-0.3305572827046693,167.3404615689971,-2.0367486476898193,152.97523926480716,-2.6816327571868896,-0.40962662713274,126.74460278819568,-0.9131762981414795,154.0873205158361,-2.2147953510284424,-0.3881135502732189
7,0.003261449521703171,113.41202255548329,-1.1513086954752605,122.65256867529736,-2.0957597891489663,44.41955839457153,-0.442207932472229,68.33102090536003,-1.724078893661499,-0.33002193476805414,168.85838533183656,-2.092090368270874,148.7355625871802,-2.480389356613159,-0.4111623296819869,126.95812394004174,-0.9196277856826782,150.89112253335185,-2.082811117172241,-0.3821063076820178
8,0.002955076614918874,114.15271761344826,-1.1722804307937622,121.12007287557073,-2.0186452070871987,43.84428874178982,-0.4050943851470947,67.6263682567218,-1.6681852340698242,-0.34809571995424854,171.18075128172268,-2.1777284145355225,145.7178486193438,-2.3405940532684326,-0.42282490597854977,127.43311281683226,-0.9340184926986694,150.01600175064658,-2.04715633392334,-0.3986044047764467
9,0.002511367851163583,115.88220126848437,-1.2370777130126953,116.48240026748014,-1.788666804631551,44.45459411017043,-0.44448399543762207,64.9307360830081,-1.4597134590148926,-0.35533194020798803,173.37164853465805,-2.2595908641815186,138.8838670099051,-2.034602403640747,-0.42393629110131376,129.82036116062457,-1.0071582794189453,145.63259770952723,-1.8716845512390137,-0.4054103336511069
10,0.0023586925519975574,110.71155994793402,-1.05499267578125,121.33861491376234,-2.0183397134145102,43.56388145675412,-0.3871791362762451,66.61719070672562,-1.5891454219818115,-0.3557042939043138,166.0381815558548,-1.9896674156188965,147.6157186434595,-2.428178310394287,-0.4367990453045475,122.53261683119315,-0.7881314754486084,149.7829353911019,-2.0376954078674316,-0.40589528881241727
