cv_fold,split,MAE,RMSE,R2,finite_fraction,Pearson,Spearman,best_epoch,best_val_RMSE,train_rows,val_rows,test_rows,train_PM2.5_mean,val_PM2.5_mean,test_PM2.5_mean,train_dates,val_dates,test_dates,fold_seed
1,val,44.972031398070484,55.16569572890215,-0.6320341904435072,1.0,0.2257844040069839,0.04266415069125076,59,55.16569572890215,14007,5700,6851,65.6660879751688,55.11753872101716,77.97625179233835,2022-10-22|2022-10-25|2023-01-30|2023-02-01|2023-02-06|2023-02-07|2023-02-08|2023-12-21|2023-12-23|2023-12-29|2024-03-02|2024-03-06,2023-01-28|2023-12-22|2024-07-05|2024-07-09,2022-10-24|2022-10-26|2024-03-01|2024-03-03,43
1,test,33.54496656308434,58.081847796003046,-0.24149401584544705,1.0,0.06372128618340969,0.24505041750652126,59,55.16569572890215,14007,5700,6851,65.6660879751688,55.11753872101716,77.97625179233835,2022-10-22|2022-10-25|2023-01-30|2023-02-01|2023-02-06|2023-02-07|2023-02-08|2023-12-21|2023-12-23|2023-12-29|2024-03-02|2024-03-06,2023-01-28|2023-12-22|2024-07-05|2024-07-09,2022-10-24|2022-10-26|2024-03-01|2024-03-03,43
2,val,27.535906713990922,39.16220873117376,0.07111287005327338,1.0,0.3600942742790767,0.10539798417418295,1,39.16220873117376,15580,5278,5700,70.18336712141564,68.31059786772332,55.11753872101716,2022-10-24|2022-10-25|2022-10-26|2023-01-30|2023-02-01|2023-02-06|2023-02-07|2023-02-08|2023-12-23|2023-12-29|2024-03-01|2024-03-03,2022-10-22|2023-12-21|2024-03-02|2024-03-06,2023-01-28|2023-12-22|2024-07-05|2024-07-09,44
2,test,73.65427245106613,94.04400537850273,-3.743001791555791,1.0,-0.03358804032890156,-0.10818598575907767,1,39.16220873117376,15580,5278,5700,70.18336712141564,68.31059786772332,55.11753872101716,2022-10-24|2022-10-25|2022-10-26|2023-01-30|2023-02-01|2023-02-06|2023-02-07|2023-02-08|2023-12-23|2023-12-29|2024-03-01|2024-03-03,2022-10-22|2023-12-21|2024-03-02|2024-03-06,2023-01-28|2023-12-22|2024-07-05|2024-07-09,44
3,val,31.111429175303947,52.974399080472544,0.2517976883505544,1.0,0.6616285493118088,0.25377926567758624,19,52.974399080472544,17044,4236,5278,64.58415137634438,72.43969650685551,68.31059786772332,2022-10-24|2022-10-26|2023-01-28|2023-02-01|2023-02-07|2023-02-08|2023-12-22|2023-12-29|2024-03-01|2024-03-03|2024-07-05|2024-07-09,2022-10-25|2023-01-30|2023-02-06|2023-12-23,2022-10-22|2023-12-21|2024-03-02|2024-03-06,45
3,test,28.516307100286625,40.7569723051108,-0.006079774930632054,1.0,0.2937697965961549,0.059344467609082054,19,52.974399080472544,17044,4236,5278,64.58415137634438,72.43969650685551,68.31059786772332,2022-10-24|2022-10-26|2023-01-28|2023-02-01|2023-02-07|2023-02-08|2023-12-22|2023-12-29|2024-03-01|2024-03-03|2024-07-05|2024-07-09,2022-10-25|2023-01-30|2023-02-06|2023-12-23,2022-10-22|2023-12-21|2024-03-02|2024-03-06,45
4,val,24.480236803161365,30.8589603916294,-1.207932501089941,1.0,-0.3523357648313616,-0.48129032547487405,3,30.8589603916294,17829,4493,4236,67.80686562818731,56.17338177594161,72.43969650685551,2022-10-22|2022-10-24|2022-10-26|2023-01-28|2023-12-21|2023-12-22|2024-03-01|2024-03-02|2024-03-03|2024-03-06|2024-07-05|2024-07-09,2023-02-01|2023-02-07|2023-02-08|2023-12-29,2022-10-25|2023-01-30|2023-02-06|2023-12-23,46
4,test,37.24795844579666,59.430491140159155,0.0583151002414829,1.0,0.24493394774900956,0.26258259194519584,3,30.8589603916294,17829,4493,4236,67.80686562818731,56.17338177594161,72.43969650685551,2022-10-22|2022-10-24|2022-10-26|2023-01-28|2023-12-21|2023-12-22|2024-03-01|2024-03-02|2024-03-03|2024-03-06|2024-07-05|2024-07-09,2023-02-01|2023-02-07|2023-02-08|2023-12-29,2022-10-25|2023-01-30|2023-02-06|2023-12-23,46
5,val,32.85844728132701,56.77600230934504,-0.18629691634058743,1.0,0.21531788297330412,0.4626170780094547,13,56.77600230934504,15214,6851,4493,64.51740900872102,77.97625179233835,56.17338177594161,2022-10-22|2022-10-25|2023-01-28|2023-01-30|2023-02-06|2023-12-21|2023-12-22|2023-12-23|2024-03-02|2024-03-06|2024-07-05|2024-07-09,2022-10-24|2022-10-26|2024-03-01|2024-03-03,2023-02-01|2023-02-07|2023-02-08|2023-12-29,47
5,test,17.01758974102062,22.6405068569146,-0.18848991506869028,1.0,0.10706650663429372,0.05326816295627923,13,56.77600230934504,15214,6851,4493,64.51740900872102,77.97625179233835,56.17338177594161,2022-10-22|2022-10-25|2023-01-28|2023-01-30|2023-02-06|2023-12-21|2023-12-22|2023-12-23|2024-03-02|2024-03-06|2024-07-05|2024-07-09,2022-10-24|2022-10-26|2024-03-01|2024-03-03,2023-02-01|2023-02-07|2023-02-08|2023-12-29,47
