cv_fold,model,split,R2,RMSE,MAE,train_rows,val_rows,test_rows,n_raw_features,n_processed_features,train_PM2.5_mean,val_PM2.5_mean,test_PM2.5_mean
1,train_mean_baseline,val,-0.06008428991022785,44.558316425971846,37.303613661274454,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,train_mean_baseline,test,-0.053929154468174145,53.48334680111478,33.56333640154416,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,ridge,val,-28.514683375177622,235.1135388177216,195.31528582068208,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,ridge,test,-0.23573039367796644,57.91282243104725,37.8655066909398,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,random_forest,val,-2.8959564398755933,85.4211905863592,70.45581747622394,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,random_forest,test,-0.23461445679663329,57.88666719043867,33.574717699275794,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,extra_trees,val,-2.588158267568831,81.977443289435,68.49395939512321,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,extra_trees,test,-0.32035963810485035,59.86307021329985,37.81020469946938,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,extra_trees_conservative,val,-2.289776924054224,78.49496479327028,65.84779011442579,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,extra_trees_conservative,test,-0.29293286998395085,59.23806380261841,36.643149321810874,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,hgb,val,-3.6139694250488725,92.95996042984326,72.95086939188603,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
1,hgb,test,-0.36991538628881937,60.97611333168514,36.63337552076138,14079,5724,6875,111,113,65.7325553090448,55.12442024692804,77.830864307824
2,train_mean_baseline,val,-0.0020613769816117955,40.81488379655996,30.441728281254782,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,train_mean_baseline,test,-0.12087167246796793,45.8180414486482,39.614642593135194,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,ridge,val,-5.131905455326477,100.96459971346367,84.47212187807187,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,ridge,test,-44.51109023073487,291.95585801120046,252.63055141785767,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,random_forest,val,-0.5166435649842209,50.212652779671046,41.64292871284124,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,random_forest,test,-1.9045637662653028,73.75628464430676,64.91948805879551,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,extra_trees,val,-0.12848720362422839,43.31314528348371,33.98219326445618,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,extra_trees,test,-2.25599749171094,78.09093178061757,68.99515451996507,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
