feature,importance
num__hour_sin,0.3020846559649114
num__month_cos,0.08037769583103746
num__dayofweek_cos,0.06038211465992344
num__month_sin,0.05519038583672445
num__image_id,0.05066541331919889
num__video_offset_sec,0.045079364445617366
num__dayofweek_sin,0.04500210225255984
num__processed_frame_key,0.043745162763592325
num__hour_cos,0.03664814276221687
num__Humidity_yolo,0.033602102697443355
num__Humidity,0.03298041499610629
cat__Day_or_Night_Night,0.030606549621082123
cat__Day_or_Night_Day,0.025831317983213625
num__Temperature,0.023098541557781467
num__Temperature_yolo,0.022721425358267853
cat__Season_Monsoon,0.007912063215872516
cat__Season_Winter,0.006233500347303961
cat__Season_Summer,0.005391455239922949
num__road_gray_dry_pixel_ratio,0.004512817506055249
num__road_mean_brightness,0.0019565850716411217
num__car_conf_sum,0.001781026189976141
num__road_haze_flatness_proxy,0.0016982860842039789
num__road_mean_saturation,0.0016755889376418778
num__road_area_pixels,0.0015461652179313851
num__near_traffic_mix_count_index,0.001532996052745151
num__road_area_ratio,0.0015147914746692565
num__road_shadow_ratio,0.0015063683484108777
num__max_vehicle_confidence,0.0015012083638934564
num__vehicle_count_share_auto,0.0014833846894774887
num__vehicle_area_share_auto,0.0014697217750170666
num__car_conf_area_ratio,0.0014609790193340947
num__center_lane_vehicle_area_ratio,0.0013401169256118165
num__total_vehicle_conf_sum,0.001334933471437052
num__road_brown_pixel_ratio,0.0013310041439095813
num__road_laplacian_std,0.0013042946264685356
num__car_count,0.0012897950522883753
num__near_vehicle_count,0.0012804214452113761
num__car_near_count,0.0012424402504490352
num__car_area_ratio,0.0012243288784178998
num__truck_conf_sum,0.0012182734757019188
num__vehicle_area_share_two_wheeler,0.0012094972426904315
num__detections_total_raw,0.001205570430696131
num__total_vehicle_conf_area_ratio,0.0012027305202473339
num__center_lane_vehicle_count,0.0011906670780427963
num__mean_vehicle_confidence,0.0011829823473036853
num__left_half_vehicle_count,0.0011713710823352123
num__bottom_half_vehicle_count,0.0011668308285913641
num__bottom_half_vehicle_area_ratio,0.0011536953032077757
num__total_vehicle_area_ratio,0.0011518733677004934
num__auto_conf_sum,0.0011495049504018373
num__right_half_vehicle_count,0.001148895084785994
num__motorcycle_conf_sum,0.0011369953179771726
num__person_count,0.0011341521413615046
num__near_vehicle_area_ratio,0.0011311321553409647
num__car_near_area_ratio,0.0011232247201058247
num__person_conf_sum,0.0011139857636606144
num__road_edge_density,0.0011066336970739384
num__heavy_vehicle_count,0.0010971439461790638
num__vehicle_count_share_two_wheeler,0.0010900623512149134
num__auto_count,0.0010892285930885585
num__truck_count,0.0010848801600528604
num__road_contrast_std,0.0010470961081580884
num__vehicle_count_share_heavy,0.0010188654171972367
num__traffic_mix_count_index,0.0010170589857619466
num__bus_count,0.0010142562972454108
num__traffic_mix_area_index,0.0010136550645637114
num__bus_conf_sum,0.0010083344309027905
num__motorcycle_count,0.0010043827147246174
num__near_traffic_mix_area_index,0.0009705307455269856
num__total_vehicle_count,0.0009651999815242861
num__person_near_count,0.0009648495124273948
num__vehicle_area_share_heavy,0.0009627972035367353
num__two_wheeler_conf_area_ratio,0.000949445067604473
num__person_conf_area_ratio,0.0009439433483335388
num__motorcycle_conf_area_ratio,0.000923379281250963
num__motorcycle_area_ratio,0.0009126088074487952
num__auto_near_count,0.0009121294849262077
num__motorcycle_near_count,0.0009116527863510004
num__two_wheeler_count,0.0009010195097895545
num__auto_conf_area_ratio,0.0008960035892837323
num__person_area_ratio,0.0008842896516056931
num__max_vehicle_box_area_ratio,0.0008811871630159914
num__two_wheeler_area_ratio,0.0008705887696994615
num__motorcycle_near_area_ratio,0.0008646914153879737
num__mean_vehicle_box_area_ratio,0.0008499623156346754
num__auto_area_ratio,0.0008314189020986833
num__near_two_wheeler_count,0.0008024002570080962
num__near_two_wheeler_area_ratio,0.0007964064378460727
num__person_near_area_ratio,0.0007155470783488315
num__auto_near_area_ratio,0.0006199018049561403
num__near_heavy_vehicle_count,0.0005987534146873572
num__truck_conf_area_ratio,0.0005952569916726728
num__truck_area_ratio,0.0005791595893923351
num__heavy_vehicle_area_ratio,0.0005731866965796124
num__heavy_vehicle_conf_area_ratio,0.0005452089053740376
num__truck_near_count,0.0005413226540689661
num__bus_area_ratio,0.0004394777912800845
num__bus_conf_area_ratio,0.00041781876333620645
num__bus_near_count,0.0003716284313732006
num__near_heavy_vehicle_area_ratio,0.00033458023173375427
num__truck_near_area_ratio,0.0003318376866821581
num__bicycle_count,0.00023435803525419924
num__bicycle_conf_sum,0.00022723763555135303
num__bus_near_area_ratio,0.00021391730924720173
num__bicycle_area_ratio,0.0001964966406169955
num__bicycle_near_count,0.00019422899254351242
num__bicycle_conf_area_ratio,0.00017361855675175164
num__bicycle_near_area_ratio,0.00016806811496507463
num__road_glare_ratio,1.1248491403093347e-05
num__image_width,0.0
num__image_height,0.0
num__lens_id,0.0
num__image_area,0.0
