feature,importance
num__hour_sin,0.19306521587376627
num__dayofweek_sin,0.14504530577032465
num__processed_frame_key,0.07164120369213192
num__image_id,0.06888898967305893
num__video_offset_sec,0.06828906836142043
num__hour_cos,0.04215727849518811
num__Temperature,0.040184945919602526
num__month_cos,0.0390967998357053
num__Temperature_yolo,0.038924156933940225
num__dayofweek_cos,0.0334321040425335
num__Humidity_yolo,0.031958939453328776
num__month_sin,0.031634899201958576
num__Humidity,0.03093052672129287
cat__Season_Winter,0.022047830785435856
cat__Season_Monsoon,0.017721940009640207
cat__Season_Summer,0.00488004569632535
cat__Day_or_Night_Night,0.004208112869066251
cat__Day_or_Night_Day,0.0038933830916018865
num__road_area_pixels,0.003327531398706238
num__road_area_ratio,0.003268558339138895
num__road_gray_dry_pixel_ratio,0.002938424927038234
num__car_conf_sum,0.0023287819628897703
num__road_laplacian_std,0.0022559924474237474
num__left_half_vehicle_count,0.002109442035579091
num__bus_conf_sum,0.0020876650812770344
num__road_brown_pixel_ratio,0.0019703916189567996
num__road_mean_brightness,0.0019615423137005813
num__road_haze_flatness_proxy,0.0019199737154837978
num__road_mean_saturation,0.0017917940980688959
num__car_count,0.0017615368446470836
num__car_conf_area_ratio,0.0017206239575467649
num__total_vehicle_conf_sum,0.00166766994781154
num__traffic_mix_count_index,0.0016647982685440922
num__max_vehicle_confidence,0.0016436334346840319
num__road_edge_density,0.0016359922254123018
num__bus_count,0.0016152199919199852
num__person_conf_sum,0.0015927799666256084
num__center_lane_vehicle_area_ratio,0.0015898942781253083
num__truck_conf_sum,0.0015892420972998301
num__person_count,0.0015630093862243376
num__right_half_vehicle_count,0.001555469278007729
num__road_contrast_std,0.0015372800965265797
num__car_area_ratio,0.0015072701811538435
num__road_shadow_ratio,0.001505656672151142
num__total_vehicle_count,0.0014669134761807355
num__heavy_vehicle_count,0.001460430189489343
num__vehicle_count_share_two_wheeler,0.0014528249008798884
num__detections_total_raw,0.0014418743923202925
num__truck_count,0.0014304972864516863
num__center_lane_vehicle_count,0.001401791710135259
num__vehicle_area_share_two_wheeler,0.0013564072000964663
num__mean_vehicle_confidence,0.0013559041200397837
num__total_vehicle_conf_area_ratio,0.001341138763945131
num__car_near_count,0.0013342825005711017
num__auto_conf_sum,0.0013300274967185323
num__car_near_area_ratio,0.0013040914810819749
num__max_vehicle_box_area_ratio,0.0012984563061302517
num__mean_vehicle_box_area_ratio,0.001295186573068719
num__person_near_count,0.0012891302954401442
num__auto_conf_area_ratio,0.0012877214873171638
num__bottom_half_vehicle_area_ratio,0.0012713946121849873
num__vehicle_area_share_auto,0.0012695569693460386
num__auto_area_ratio,0.0012546996022535653
num__person_area_ratio,0.0012368075910490011
num__total_vehicle_area_ratio,0.0012326173323249886
num__auto_near_area_ratio,0.0012292958980363651
num__motorcycle_conf_sum,0.0012182451170072337
num__person_conf_area_ratio,0.0011534212117568492
num__near_traffic_mix_count_index,0.0011505015997370339
num__near_vehicle_area_ratio,0.001148342990221113
num__vehicle_count_share_heavy,0.0011418625566848625
num__traffic_mix_area_index,0.00111535885682616
num__bottom_half_vehicle_count,0.0011089662517078736
num__near_traffic_mix_area_index,0.0010550269368654432
num__vehicle_count_share_auto,0.0010412425389697117
num__two_wheeler_count,0.0010354398707168747
num__motorcycle_count,0.0010335156644183797
num__vehicle_area_share_heavy,0.0010299453096441298
num__near_vehicle_count,0.0009999635980024921
num__auto_count,0.0009889334097756763
num__person_near_area_ratio,0.0009836278804331838
num__two_wheeler_area_ratio,0.000957759724287125
num__motorcycle_area_ratio,0.0009352488364823871
num__motorcycle_conf_area_ratio,0.0009168217386616373
num__two_wheeler_conf_area_ratio,0.0009167303606004697
num__bus_conf_area_ratio,0.000886542582564143
num__motorcycle_near_count,0.0008711249050869792
num__near_two_wheeler_count,0.0008486144862539172
num__near_two_wheeler_area_ratio,0.0008393342944965201
num__motorcycle_near_area_ratio,0.0008265769326944983
num__heavy_vehicle_conf_area_ratio,0.000808259053838008
num__heavy_vehicle_area_ratio,0.000777091031723036
num__bus_area_ratio,0.0007316617028487773
num__auto_near_count,0.0006273179497757234
num__truck_conf_area_ratio,0.0006036996078988868
num__truck_area_ratio,0.0005552233633587904
num__road_glare_ratio,0.0005394513152407857
num__bicycle_count,0.000515197326889762
num__bicycle_conf_sum,0.0004133817940255477
num__bicycle_near_count,0.0003957861313790063
num__truck_near_count,0.0003545950660819006
num__near_heavy_vehicle_count,0.0003460768467914206
num__bicycle_area_ratio,0.0003267719803415087
num__bicycle_near_area_ratio,0.00032404411071330056
num__bicycle_conf_area_ratio,0.0003081352449240722
num__near_heavy_vehicle_area_ratio,0.00022788233053637656
num__truck_near_area_ratio,0.0002077319887338703
num__bus_near_count,0.0001844634279829672
num__bus_near_area_ratio,9.811089669526007e-05
num__lens_id,0.0
num__image_area,0.0
num__image_height,0.0
num__image_width,0.0
