feature,importance
num__month_cos,0.34328759405338055
num__hour_sin,0.10535284627859673
num__image_id,0.061544693879050504
num__processed_frame_key,0.05378414851177213
num__video_offset_sec,0.05207516549838177
num__month_sin,0.05013006204067743
num__Temperature_yolo,0.03158865619550067
num__Humidity_yolo,0.031208266944094246
num__Humidity,0.03072358015157646
num__Temperature,0.029968225524486043
num__dayofweek_cos,0.028357011044839956
cat__Season_Monsoon,0.025713727696566754
num__dayofweek_sin,0.022551932324524328
num__hour_cos,0.011247778970190206
cat__Season_Winter,0.005311838929600796
num__road_mean_saturation,0.004883371918545936
num__road_laplacian_std,0.0032512461127027206
num__road_brown_pixel_ratio,0.0031229691858064906
num__max_vehicle_confidence,0.003096104568789319
num__road_gray_dry_pixel_ratio,0.0030665323510538052
num__car_conf_sum,0.0030033472645657516
num__bus_conf_sum,0.0027167138705866244
num__road_edge_density,0.00267773807424363
num__mean_vehicle_confidence,0.0025984922505482913
num__road_haze_flatness_proxy,0.0024316864326919267
num__road_contrast_std,0.002410717883625147
num__center_lane_vehicle_area_ratio,0.00238361584114355
num__road_mean_brightness,0.0023687900914944166
num__near_traffic_mix_count_index,0.002363016415307682
num__vehicle_area_share_auto,0.0021976608702992087
num__total_vehicle_conf_sum,0.002154580441391425
num__motorcycle_conf_sum,0.002144807399506763
num__road_area_ratio,0.002110768405947316
num__road_shadow_ratio,0.002055475641470455
num__road_area_pixels,0.0020392503431925016
num__car_conf_area_ratio,0.002008425538435819
num__person_conf_sum,0.001971838781607828
num__auto_conf_sum,0.001832063955463037
num__vehicle_count_share_auto,0.001797218236254232
num__mean_vehicle_box_area_ratio,0.0017302187246743502
num__vehicle_area_share_heavy,0.0016807902952739478
num__car_area_ratio,0.0016574818750166058
num__traffic_mix_count_index,0.0016225302849280489
num__truck_conf_sum,0.0015776010630244748
num__vehicle_area_share_two_wheeler,0.0015475288020558944
num__person_conf_area_ratio,0.0015272960368468607
num__max_vehicle_box_area_ratio,0.0014869242535208906
num__person_area_ratio,0.0014515753367394313
num__vehicle_count_share_two_wheeler,0.0013968414852496194
num__total_vehicle_conf_area_ratio,0.0013920240915215058
num__two_wheeler_conf_area_ratio,0.0013225866509006302
num__auto_conf_area_ratio,0.0012822064996334541
num__traffic_mix_area_index,0.0012575812587236573
num__detections_total_raw,0.0012479861897060462
num__truck_conf_area_ratio,0.001212133619875129
num__right_half_vehicle_count,0.0012035596901382322
num__vehicle_count_share_heavy,0.0011950256029236571
num__person_count,0.001193660800960101
num__bottom_half_vehicle_area_ratio,0.001181080051549437
num__auto_area_ratio,0.0011575896453296301
num__two_wheeler_area_ratio,0.0011332795557458318
num__left_half_vehicle_count,0.0011318153064529236
num__center_lane_vehicle_count,0.0011067535961707807
num__car_near_area_ratio,0.0011041013966470745
num__total_vehicle_area_ratio,0.001095227613301572
num__motorcycle_conf_area_ratio,0.0010916846716925144
num__motorcycle_area_ratio,0.001051575417353606
num__near_vehicle_area_ratio,0.0010328216254588407
num__near_traffic_mix_area_index,0.0010328158250383006
num__truck_area_ratio,0.0009514052863482059
num__near_vehicle_count,0.0008991032917464496
num__car_count,0.0008563200783172206
num__heavy_vehicle_conf_area_ratio,0.0008490560668290522
num__bottom_half_vehicle_count,0.0007811649486483833
num__near_two_wheeler_area_ratio,0.0007809804283172081
num__bus_area_ratio,0.0007193044928049784
num__heavy_vehicle_area_ratio,0.000718273084570957
num__total_vehicle_count,0.0007050747895720157
num__motorcycle_near_area_ratio,0.0006506242473559991
num__person_near_area_ratio,0.0006498445879559656
num__bus_conf_area_ratio,0.0006379682952022588
num__near_heavy_vehicle_area_ratio,0.000534116731383672
num__two_wheeler_count,0.0005069286177886333
num__motorcycle_count,0.0004960775431442222
num__auto_near_area_ratio,0.00048681031725238805
cat__Season_Summer,0.00044353717945842553
num__bus_count,0.0004135384538127459
num__auto_count,0.00041183286757875645
num__person_near_count,0.00040223043695518704
num__near_heavy_vehicle_count,0.0003849333031716402
num__road_glare_ratio,0.00038334417079335573
num__car_near_count,0.0003158266829271698
num__bicycle_conf_sum,0.00030845780722298826
num__motorcycle_near_count,0.0003054757989863466
num__bus_near_area_ratio,0.0002996976725017899
cat__Day_or_Night_Day,0.000295407835194431
num__heavy_vehicle_count,0.0002950668686616825
num__truck_near_area_ratio,0.00027932856858039963
num__near_two_wheeler_count,0.0002699015099638827
num__truck_count,0.00024453695266791814
num__bicycle_conf_area_ratio,0.00020533674461034569
num__bicycle_area_ratio,0.00019543149780130355
cat__Day_or_Night_Night,0.00019248753061525803
num__auto_near_count,0.00014376558260034242
num__bicycle_near_area_ratio,0.00011853890160535821
num__bicycle_count,7.596875356321194e-05
num__bus_near_count,7.062016012581267e-05
num__truck_near_count,6.395039760932778e-05
num__bicycle_near_count,2.1474331389075437e-05
num__lens_id,0.0
num__image_area,0.0
num__image_height,0.0
num__image_width,0.0
