feature_group,residual_model,n_raw_features,n_aggregated_features,R2,RMSE,MAE
full,extra_trees,112,535,0.9546546019011979,10.001611363715812,5.620743575409054
road_plus_tabular,random_forest,31,130,0.9545914533747833,10.008573120696543,5.60917332299445
yolo_plus_tabular,extra_trees,96,465,0.9544906713021105,10.019673736737033,5.638982662355057
yolo_plus_road,extra_trees,97,475,0.9543908253866066,10.030659125922709,5.6552527771784895
road_plus_tabular,extra_trees,31,130,0.9542290012005397,10.048438070670386,5.656607516137283
full,random_forest,112,535,0.9541833175915528,10.05345144640827,5.662853064516836
yolo_only,extra_trees,81,405,0.9541292422347856,10.059382513763381,5.684049477669839
road_only,random_forest,16,70,0.9540607345132969,10.066891527048014,5.692321854104416
yolo_plus_road,random_forest,97,475,0.9540205888443314,10.071289222957287,5.681410844488571
yolo_plus_tabular,random_forest,96,465,0.9539345710171153,10.08070545515528,5.687770415374666
road_only,extra_trees,16,70,0.9537971385427748,10.09573173998103,5.744284062333331
yolo_only,random_forest,81,405,0.9537970576237041,10.095740580741602,5.710002548265374
tabular_only,random_forest,15,60,0.953184726075352,10.16242023697214,5.7445473286268625
tabular_only,extra_trees,15,60,0.9529283483717075,10.19020882413906,5.8124525609214786
image_base_only,none,0,0,0.951356299679352,10.358972200935021,5.99133694384241
road_only,ridge,16,70,0.9511832500968131,10.377381823645601,5.9901859636864545
tabular_only,ridge,15,60,0.9511780120744043,10.377938553667585,5.9267108239924475
road_plus_tabular,ridge,31,130,0.9508325157740287,10.414594356401665,6.0192455729148335
yolo_only,ridge,81,405,0.9488012146095637,10.627550921765382,6.454931359357303
yolo_plus_tabular,ridge,96,465,0.9483379075138996,10.675527945989497,6.490805214423446
yolo_plus_road,ridge,97,475,0.9480392331358832,10.70634272096383,6.568352506142913
full,ridge,112,535,0.947641527736312,10.74723755392767,6.586770691760054
