feature_group,residual_model,n_raw_features,n_aggregated_features,R2,RMSE,MAE
full,extra_trees,112,535,0.9471095404581161,10.698058647822783,5.090819479026611
yolo_plus_tabular,extra_trees,96,465,0.9470447863859455,10.7046054897794,5.107308403095866
yolo_plus_road,extra_trees,97,475,0.9463807279255664,10.771514268909005,5.151643837575963
road_plus_tabular,extra_trees,31,130,0.946150097826004,10.794654920675997,5.162821185118932
yolo_only,extra_trees,81,405,0.9459138612893144,10.818306785677718,5.189584616732345
road_plus_tabular,random_forest,31,130,0.9454931936535664,10.860296257906644,5.148366323124275
road_only,extra_trees,16,70,0.9454498034548043,10.864618072935556,5.17265244207155
road_only,random_forest,16,70,0.9453162571064708,10.877908979549947,5.2122476975774745
yolo_plus_road,random_forest,97,475,0.9452422078606604,10.885271574063951,5.19806338655247
full,random_forest,112,535,0.9452400696826135,10.885484095612043,5.182634705269159
yolo_plus_tabular,random_forest,96,465,0.9449761632944951,10.911682959501421,5.197966599559387
yolo_only,random_forest,81,405,0.9448537595622957,10.923813054626537,5.225541045815707
tabular_only,random_forest,15,60,0.9446863320741713,10.940383182252821,5.241702586652846
tabular_only,extra_trees,15,60,0.9438812142403072,11.019716887849908,5.2610909939679305
road_only,ridge,16,70,0.9418969209268175,11.212846530764512,5.38118193320805
image_base_only,none,0,0,0.9418868264916788,11.213820510441304,5.244413596573795
tabular_only,ridge,15,60,0.9414881031450612,11.25222461534661,5.3482709256606356
road_plus_tabular,ridge,31,130,0.9413293018664954,11.267483537073653,5.464968023136759
yolo_plus_tabular,ridge,96,465,0.9406119263651419,11.336158861818387,6.124495792648843
yolo_only,ridge,81,405,0.9402523106665777,11.370429277152525,6.12949108704854
full,ridge,112,535,0.9401931792085331,11.376054463646263,6.223525255323463
yolo_plus_road,ridge,97,475,0.9400167660207011,11.392820179066597,6.240029289079111
