feature_group,residual_model,n_raw_features,n_aggregated_features,R2,RMSE,MAE
full,extra_trees,112,535,0.9486470652921943,10.541415650602975,4.8388947066782295
yolo_plus_tabular,extra_trees,96,465,0.9484372034134767,10.562933269250234,4.843966304335443
yolo_plus_road,extra_trees,97,475,0.9476866078748288,10.639537387201381,4.899944928821051
road_plus_tabular,extra_trees,31,130,0.9475770345747715,10.650674109087886,4.926111299163486
yolo_only,extra_trees,81,405,0.9472588228182077,10.682950441651249,4.923471082993272
road_plus_tabular,random_forest,31,130,0.9466774975039357,10.741664057527178,4.919688830534746
yolo_plus_road,random_forest,97,475,0.9464618411755626,10.76336381128362,4.947466526925026
tabular_only,random_forest,15,60,0.9464598543254531,10.76356352857531,5.05530678139961
full,random_forest,112,535,0.9464421317186233,10.765344833227424,4.944275238759798
yolo_plus_tabular,random_forest,96,465,0.9462782304020465,10.781804658693137,4.958237306311902
road_only,random_forest,16,70,0.9461985362587939,10.789798887688708,4.9549028441444
road_only,extra_trees,16,70,0.9461765948923868,10.791998816669523,4.928151032941417
yolo_only,random_forest,81,405,0.9460242600410054,10.80726016938346,4.975360207932997
tabular_only,extra_trees,15,60,0.9453926210005087,10.870311020349236,5.075428772941593
tabular_only,ridge,15,60,0.9420120662237882,11.201730537784325,5.149919360473196
road_only,ridge,16,70,0.9417056624555082,11.231286086884054,5.212431849381313
road_plus_tabular,ridge,31,130,0.9416477877693763,11.236859920746655,5.313032476451457
image_base_only,none,0,0,0.9414387682238354,11.256967331603708,4.988583596197289
yolo_plus_tabular,ridge,96,465,0.9407514251260483,11.322837080608016,6.216717143277509
yolo_only,ridge,81,405,0.9399854863800808,11.395790316310414,6.204716759030405
full,ridge,112,535,0.9397482887651042,11.41828811342844,6.359591299491214
yolo_plus_road,ridge,97,475,0.9390422125402029,11.48499741736454,6.359548425789849
