model,uses_base_pred_feature,R2,RMSE,MAE
extra_trees_conservative_plus_basepred,True,0.9560419277869737,9.847425061880623,5.4398652874697975
extra_trees_default_plus_basepred,True,0.9557961905140273,9.874911559091634,5.408756501308736
extra_trees_smooth_plus_basepred,True,0.9556505165357992,9.891169597207037,5.507786264487833
extra_trees_wide_plus_basepred,True,0.955312030355802,9.928843770364592,5.432160003366673
random_forest_smooth_plus_basepred,True,0.9545664396549225,10.011329398921813,5.611294439756091
extra_trees_conservative,False,0.9544510282755293,10.024036839195087,5.564955958331659
extra_trees_smooth,False,0.9542156029240246,10.049908673282266,5.637127157309033
extra_trees_default,False,0.9539588057124604,10.078053412496455,5.563363241466365
random_forest_smooth,False,0.9538144184820426,10.093843654044793,5.714879625521275
extra_trees_wide,False,0.9535130978946464,10.126716881584171,5.58615212896636
hgb_plus_basepred,True,0.9531619382243665,10.164893271138787,5.783073018007619
random_forest_default_plus_basepred,True,0.9526170927147496,10.223844080979925,5.655956674299143
hgb,False,0.952109021131718,10.278511412664,5.957710335342969
random_forest_default,False,0.95158088999976,10.33503059588467,5.767008277319787
image_base_only,False,0.951356299679352,10.358972200935021,5.99133694384241
ridge_plus_basepred,True,0.9478056034441548,10.730385035490992,6.578128312405937
ridge,False,0.9476415260929698,10.747237722586043,6.586770629473649
