model,target,R2,RMSE,MAE
extra_trees_residual,Average,0.9547711031073839,18.744636643485332,9.245797314213656
random_forest_residual,Average,0.9532258619617334,19.043468369808007,9.39769409054624
base_image_model,Average,0.9496215536951512,19.74184405460889,9.600894087788655
ridge_residual,Average,0.9479238291903278,20.09286869364261,11.44260450318077
extra_trees_residual,PM10,0.9642745826850556,21.767059596569315,10.258416740164451
random_forest_residual,PM10,0.9629912666266868,22.154564727937327,10.45269633070884
base_image_model,PM10,0.960600412538527,22.858985297470014,10.709073572665663
ridge_residual,PM10,0.95970254572071,23.117981755574135,12.910080536467584
extra_trees_residual,PM2.5,0.9471601675252449,10.692937298826374,5.344805300305916
random_forest_residual,PM2.5,0.9449582066129991,10.91346329366273,5.4426796179340124
base_image_model,PM2.5,0.9404229515059186,11.354180557276846,5.568509509977409
ridge_residual,PM2.5,0.9390226482191972,11.486840316848692,6.578829144304164
extra_trees_residual,aqi,0.952878559111851,23.773913035060307,12.1341699021706
random_forest_residual,aqi,0.9517281126455143,24.062377087823965,12.297706322995872
base_image_model,aqi,0.9478412970410083,25.012366309079813,12.525099180722892
ridge_residual,aqi,0.9450462936310762,25.673784008505,14.83890382877056
