model,target,R2,RMSE,MAE
extra_trees_residual,Average,0.9555242952012012,18.52275123438346,8.932371376170048
random_forest_residual,Average,0.9544912006072144,18.7181659573418,9.036468965502403
base_image_model,Average,0.9517057823738293,19.29559775607261,9.17448257134789
ridge_residual,Average,0.9498641090345811,19.682274803215503,10.89039957024818
extra_trees_residual,PM10,0.9643734236742857,21.736927437975016,10.08646327930941
random_forest_residual,PM10,0.9635276721191899,21.99342430013459,10.223485292717106
base_image_model,PM10,0.9611596308186413,22.696180969656407,10.488692034826807
ridge_residual,PM10,0.9599489546432369,23.04719301793474,12.584843381858992
extra_trees_residual,PM2.5,0.9466284733957548,10.746600805561496,5.138325016060277
random_forest_residual,PM2.5,0.9450328189821742,10.906063866426335,5.199868990299737
base_image_model,PM2.5,0.9418868264916788,11.213820510441304,5.244413596573795
ridge_residual,PM2.5,0.940193180014703,11.376054386974122,6.223525234545432
extra_trees_residual,aqi,0.9555709885335627,23.08472545961387,11.572325833140459
random_forest_residual,aqi,0.9549131107202793,23.255009705464477,11.686052613490368
base_image_model,aqi,0.9520708898111678,23.976791788120117,11.79034208264307
ridge_residual,aqi,0.9494501924458033,24.62357700473764,13.862830094340117
