model,split,target,split_mode,R2,RMSE,MAE,n_features,train_rows,val_rows,test_rows
train_mean_baseline,test,PM2.5,chrono,-0.4024238484964573,44.71316489149691,37.976002689813285,112,18674,4002,4002
hgb,test,PM2.5,chrono,-2.2075427745907397,67.62106327833622,48.66286968216854,112,18674,4002,4002
random_forest,test,PM2.5,chrono,-3.743989002881576,82.23706531353605,70.25914028287882,112,18674,4002,4002
extra_trees_conservative,test,PM2.5,chrono,-4.291299021813417,86.85141922112237,78.61249731007972,112,18674,4002,4002
extra_trees,test,PM2.5,chrono,-4.509410378967315,88.62338385795668,79.99143037823603,112,18674,4002,4002
ridge,test,PM2.5,chrono,-79.29951463367105,338.3391291396548,329.8206168410573,112,18674,4002,4002
train_mean_baseline,val,PM2.5,chrono,-0.0956883508630959,43.06698433399881,24.499172599761952,112,18674,4002,4002
ridge,val,PM2.5,chrono,-0.21574073591937193,45.365053211969666,31.57636000563782,112,18674,4002,4002
extra_trees_conservative,val,PM2.5,chrono,-0.28522893722629283,46.64350607528316,27.671353257914497,112,18674,4002,4002
extra_trees,val,PM2.5,chrono,-0.29060064365456917,46.740879374500615,27.99381883047669,112,18674,4002,4002
random_forest,val,PM2.5,chrono,-0.33242926728180233,47.49228025818897,30.034137585831445,112,18674,4002,4002
hgb,val,PM2.5,chrono,-0.591677435567914,51.90730366572342,31.69716770138851,112,18674,4002,4002
