model,split,target,split_mode,R2,RMSE,MAE,n_features,train_rows,val_rows,test_rows
random_forest,test,PM2.5,random,0.8380141622654647,19.076446686278885,10.247095674590764,112,18674,4002,4002
extra_trees,test,PM2.5,random,0.8306583404810246,19.504771449118415,10.420169054751982,112,18674,4002,4002
extra_trees_conservative,test,PM2.5,random,0.8152219538567628,20.374367962573825,11.165116681651785,112,18674,4002,4002
hgb,test,PM2.5,random,0.7781094961220171,22.3268943954673,13.135602238526245,112,18674,4002,4002
ridge,test,PM2.5,random,0.4066901685965554,36.508982755901506,25.07521339896135,112,18674,4002,4002
train_mean_baseline,test,PM2.5,random,-0.000678599963104487,47.41396405787829,32.03360960934482,112,18674,4002,4002
random_forest,val,PM2.5,random,0.8452608088982548,18.926604587858616,10.136678409527438,112,18674,4002,4002
extra_trees,val,PM2.5,random,0.8439788181322779,19.0048448963116,10.270108779293766,112,18674,4002,4002
extra_trees_conservative,val,PM2.5,random,0.8247754000549982,20.140492508388476,11.065871287079986,112,18674,4002,4002
hgb,val,PM2.5,random,0.7873167832752379,22.18907294913857,12.905515520445487,112,18674,4002,4002
ridge,val,PM2.5,random,0.42480645019025054,36.49047792720527,24.86047959739292,112,18674,4002,4002
train_mean_baseline,val,PM2.5,random,-0.00011135590895405834,48.116798915061906,32.229119326093254,112,18674,4002,4002
