epoch,train_loss,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
1,0.7418862638484138,31.200694151377963,47.869549260556056,-0.6749355166487057,-0.10083507877876,-0.007191761184049469,36.36476996092515,50.156081078789896,-0.4676788383038868,-0.06553571164690329,-0.04738383779336093
2,0.20021118176373118,31.497124537961653,48.965794028810045,-0.7525282133159867,-0.13249937372648746,-0.053811184504931206,34.36601458674863,49.43112457064544,-0.4255577735992122,-0.0716925809679943,-0.04776495256448188
3,0.16357865547265907,31.55806548677488,48.50012108478525,-0.7193530411021729,-0.09313819240335793,-0.001986318278687765,36.197790434490585,50.21313294116583,-0.4710196668666664,-0.07582329801367693,-0.0597677864385923
4,0.1473348563174436,30.577453099154557,48.42454657344351,-0.7139989089826884,-0.12535604478228782,-0.03759229974052857,33.36835940012518,47.998392383866125,-0.34411746553076505,-0.08089005320733794,-0.06207404235507685
5,0.14071749682235152,33.731739423895185,49.791266527896795,-0.8121150292949666,-0.09688518008738435,-0.010898283928399765,37.68085732821447,51.17300490541075,-0.527797096475529,-0.0639296324350341,-0.02624227265558384
6,0.12606114296555343,32.42503340745022,48.538185432123555,-0.722052899655089,-0.07848737935925601,0.01152475361779602,38.5946196292792,51.772534410757494,-0.563805339864907,-0.0864627686439928,-0.06123350257303491
7,0.12055866379395991,36.37709337976715,52.39023695358217,-1.0062273230538508,-0.10661107472144363,-0.010497489792368607,40.477007636042664,54.47207423539628,-0.7311379096628619,-0.11920008850772335,-0.0972582178194725
8,0.11397761631862192,33.94568388413501,49.50443631763656,-0.7912972326967693,-0.0580942555999501,0.03906403848199496,40.23164641328977,53.333046650879886,-0.6594975968374239,-0.07389456914402733,-0.04802120170743886
9,0.1064070883685554,31.91231254179286,47.650787208833485,-0.6596617114659808,-0.06491169489525847,0.026306713557280547,37.21721554535817,50.19494996756418,-0.46995450055043997,-0.0690012929072435,-0.033034507702605506
10,0.10308865390684771,32.33366816274401,48.73436910730563,-0.736001563328861,-0.09404743831015558,0.003532314572024856,37.02670193556594,50.229825394856455,-0.4719978575371495,-0.09867604256280221,-0.07417967386429669
11,0.09761577890319598,32.835548330988935,48.85860553605596,-0.7448638731737716,-0.09129152600025901,-6.908223585441727e-05,37.54562592419108,50.65898059153491,-0.4972583142797149,-0.09046990350815673,-0.054061287799515995
12,0.09272194105307024,32.20416183444885,47.95205223760256,-0.680713981294216,-0.050436628926054584,0.06796819060160118,38.31464514231254,50.855232101318386,-0.5088814604152987,-0.07483671683405196,-0.040749108085505394
13,0.08742011211159324,33.73202841077022,48.68171913966495,-0.7322526257401878,-0.03960405192706426,0.06924237053833511,40.298567979687604,52.25123992877714,-0.5928579316502534,-0.06491180403140705,-0.02779364737498808
14,0.08385181360976303,35.11749265479193,50.498201939987446,-0.8639370665314019,-0.0396958718916776,0.07472851304206066,40.83594173164605,53.505850566300836,-0.670268864449959,-0.09313697193384936,-0.054218847490142615
15,0.08198578030180967,30.591795460230514,46.26140145355901,-0.5642889803359097,-0.07181350745340565,0.018149257351498003,35.42631604792827,48.1972919050931,-0.35528026612861696,-0.06217521383651852,-0.020334802748669212
16,0.07642798215239399,27.905647887415473,44.67660495011019,-0.458947759103421,-0.054823495807537245,0.03595982672448845,34.48700562417398,47.62706956457416,-0.3234013165185434,-0.10387191347616415,-0.0628040204723786
17,0.07495800267312715,30.14749545488333,45.586655819066756,-0.5189898907648556,-0.04035309595402432,0.05244029770472361,37.292923418343264,49.37530707492403,-0.42234011913956815,-0.07279452894687852,-0.033860988787737474
18,0.06964541531158237,31.171770118377548,46.468542914248445,-0.5783289590403327,-0.03822185198674127,0.05936963877944823,39.090513261671425,51.13449437302494,-0.5254984571485992,-0.09563173410544593,-0.07069657639644257
19,0.06526979908856383,29.21048526053852,44.47156254188825,-0.44558686475668385,0.02079057871339554,0.14877392472610773,37.658771186466836,49.918143798501426,-0.4537867169312766,-0.09609144622983345,-0.07504973927046123
20,0.06369131234567198,31.837052374973535,46.61432951586312,-0.5882479342409181,-0.03425083273640289,0.08689144429153325,39.209813650341445,50.74261921694461,-0.502206380855845,-0.07925231151312868,-0.05384152927378274
21,0.06008390135232797,29.821405546973892,44.93090299789635,-0.475603610638335,-2.965007808358169e-05,0.12369052731853715,37.050035058862775,48.85545279720589,-0.3925472062721569,-0.06724350324486097,-0.036082732633424694
22,0.0567552359944644,32.15124442387007,46.927150217605764,-0.609636375586285,-0.010686376852755464,0.11665757207559332,38.069490949385596,49.894988466908885,-0.45243830517582073,-0.07443197711412321,-0.03774655410100104
23,0.05478015638566832,28.486588246535987,44.11733752588119,-0.42264979404425107,-0.02739528051960417,0.08899985888550685,34.83295958245556,46.81823935049985,-0.2788334752772301,-0.06832864333181762,-0.03562987726007946
24,0.052007315324904484,31.279447406160553,46.06119892027433,-0.5507789285921285,-0.011441943159864423,0.1057224450537324,38.0675798052617,49.2838117130002,-0.41707364261838475,-0.045127157162403383,-0.010426703585567182
