date,purge,test,train,val
2022-10-22,24,252,1195,245
2022-10-24,24,240,1138,233
2022-10-25,24,163,781,157
2022-10-26,24,324,1533,318
2023-01-28,24,162,773,155
2023-01-30,24,184,879,178
2023-02-01,24,199,947,192
2023-02-06,24,207,985,200
2023-02-07,24,201,959,196
2023-02-08,24,197,937,190
2023-12-21,24,100,485,93
2023-12-22,24,104,504,98
2023-12-23,24,59,295,52
2023-12-29,24,55,276,48
2024-03-01,24,157,752,151
2024-03-02,24,183,871,176
2024-03-03,24,284,1347,278
2024-03-06,24,235,1118,229
2024-07-05,24,311,1472,305
2024-07-09,24,256,1214,250
