date,total_sequences,train,val,test,purge,train_end_raw,val_end_raw,purge_size
2022-10-22,1716,1195,245,252,24,1201,1458,6
2022-10-24,1635,1138,233,240,24,1144,1389,6
2022-10-25,1125,781,157,163,24,787,956,6
2022-10-26,2199,1533,318,324,24,1539,1869,6
2023-01-28,1114,773,155,162,24,779,946,6
2023-01-30,1265,879,178,184,24,885,1075,6
2023-02-01,1362,947,192,199,24,953,1157,6
2023-02-06,1416,985,200,207,24,991,1203,6
2023-02-07,1380,959,196,201,24,965,1173,6
2023-02-08,1348,937,190,197,24,943,1145,6
2023-12-21,702,485,93,100,24,491,596,6
2023-12-22,730,504,98,104,24,510,620,6
2023-12-23,430,295,52,59,24,301,365,6
2023-12-29,403,276,48,55,24,282,342,6
2024-03-01,1084,752,151,157,24,758,921,6
2024-03-02,1254,871,176,183,24,877,1065,6
2024-03-03,1933,1347,278,284,24,1353,1643,6
2024-03-06,1606,1118,229,235,24,1124,1365,6
2024-07-05,2112,1472,305,311,24,1478,1795,6
2024-07-09,1744,1214,250,256,24,1220,1482,6
