split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
chrono,baseline,previous_sequence_persistence,Average,0.8645262898380497,24.829375102941267,10.708568782828666,16825,5462,42,0.8
chrono,baseline,train_mean,Average,-0.05768711241602239,70.43734097065966,51.73601492257546,16825,5462,42,0.8
chrono,T7_yolo_only,extra_trees,Average,-0.07695780140945159,71.73608233237137,47.78874995375717,16825,5462,42,0.8
chrono,T7_yolo_only,random_forest,Average,-0.10967556094681497,72.3471868682194,51.10027726015977,16825,5462,42,0.8
chrono,T7_yolo_only,hist_gradient_boosting,Average,-0.23133912220280436,77.28696459854946,50.17007321009638,16825,5462,42,0.8
chrono,T7_road_only,extra_trees,Average,-0.2830377998293445,78.36156696758935,53.477768355171655,16825,5462,42,0.8
chrono,T7_road_only,random_forest,Average,-0.36661136185554866,80.64846421975523,58.11729103761538,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,extra_trees,Average,-0.4425142648835693,83.00081145802947,65.98228228224792,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,extra_trees,Average,-0.5776927896984364,86.85064060730338,69.60801266364072,16825,5462,42,0.8
chrono,T7_tabular_plus_road,extra_trees,Average,-0.6649666658413041,89.14685097440777,72.52427890326233,16825,5462,42,0.8
chrono,T7_road_only,hist_gradient_boosting,Average,-0.708886818301238,90.19296939753553,64.1924183707843,16825,5462,42,0.8
chrono,T7_tabular_only,extra_trees,Average,-0.7686709271338706,91.85926076555329,72.72389449443375,16825,5462,42,0.8
chrono,T7_tabular_only,random_forest,Average,-0.9083309748394415,94.7953570056884,68.4545429888411,16825,5462,42,0.8
chrono,T7_road_only,ridge,Average,-0.9611260787326287,96.38462888018807,77.81408132798056,16825,5462,42,0.8
chrono,T7_tabular_plus_road,random_forest,Average,-1.2276461712313622,102.52561947437857,80.52822470621398,16825,5462,42,0.8
chrono,T7_tabular_plus_road,hist_gradient_boosting,Average,-1.5494624526384753,111.05056624141474,65.5127327288754,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,random_forest,Average,-1.5885625687976421,110.79942567076716,89.35740993585296,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,random_forest,Average,-1.6295183540239122,111.89279907130503,88.27112363679457,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,Average,-1.7060583490219716,114.05311229240387,64.13314909542682,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,hist_gradient_boosting,Average,-1.904043256586626,117.99039183573139,65.9030642140125,16825,5462,42,0.8
chrono,T7_tabular_only,hist_gradient_boosting,Average,-2.2212355109829867,124.03933608856492,74.85834746003124,16825,5462,42,0.8
chrono,T7_yolo_only,ridge,Average,-5.889992792693575,182.34279116237428,155.17894492613334,16825,5462,42,0.8
chrono,T7_tabular_plus_road,ridge,Average,-7.85343650957412,208.71364185268885,152.1215293155375,16825,5462,42,0.8
chrono,T7_tabular_only,ridge,Average,-8.995076046063067,222.12822432411,174.25114288764294,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,ridge,Average,-11.45870830899195,247.53615727928172,193.9870188025014,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,ridge,Average,-14.536429803546485,276.5772746503585,235.05991211552387,16825,5462,42,0.8
chrono,baseline,previous_sequence_persistence,PM10,0.9072324689931283,24.282806499128895,10.143846583490895,16825,5462,42,0.8
chrono,baseline,train_mean,PM10,-0.024169573326113136,80.68388743218007,53.64557014175907,16825,5462,42,0.8
chrono,T7_yolo_only,random_forest,PM10,-0.16186587990717882,85.93674087269434,52.025881700599896,16825,5462,42,0.8
chrono,T7_yolo_only,extra_trees,PM10,-0.20425979252735127,87.49051508043955,50.383811019037374,16825,5462,42,0.8
chrono,T7_road_only,extra_trees,PM10,-0.39079979203835613,94.02280179602302,58.355583992412605,16825,5462,42,0.8
chrono,T7_yolo_only,hist_gradient_boosting,PM10,-0.40810085637937554,94.60579975780735,57.512868480797074,16825,5462,42,0.8
chrono,T7_road_only,random_forest,PM10,-0.4467102693810021,95.8940502616314,63.81082196423359,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,extra_trees,PM10,-0.6603112070764436,102.72960773461513,82.54695250088828,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,extra_trees,PM10,-0.8445688585429099,108.28001723631436,87.91084003065409,16825,5462,42,0.8
