split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
random,baseline,previous_sequence_persistence,Average,0.947191999386514,20.15882574690463,8.44437703706499,21246,5312,42,0.8
random,T7_tabular_only,random_forest,Average,0.828382552893823,36.21931977948374,19.044627652364888,21246,5312,42,0.8
random,T7_tabular_plus_road,random_forest,Average,0.799012974626287,38.81798652437616,21.643265137845418,21246,5312,42,0.8
random,T7_tabular_plus_road,extra_trees,Average,0.7648055477605272,41.6601131548859,23.982712671775506,21246,5312,42,0.8
random,T7_tabular_plus_road,hist_gradient_boosting,Average,0.7633208592414428,42.278445087071994,24.756352644478085,21246,5312,42,0.8
random,T7_tabular_only,hist_gradient_boosting,Average,0.7603759968174088,42.91938744731618,24.45194083717109,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,Average,0.7573439242576199,43.01588042652342,25.269238326736467,21246,5312,42,0.8
random,T7_tabular_only,extra_trees,Average,0.7544965396603206,42.66901385471851,24.82651378015362,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,random_forest,Average,0.7513967750453441,43.3031492289594,25.30903393884186,21246,5312,42,0.8
random,T7_tabular_plus_yolo,hist_gradient_boosting,Average,0.7427374092649144,44.33353602202996,25.772263747466898,21246,5312,42,0.8
random,T7_tabular_plus_yolo,random_forest,Average,0.7415049310790671,44.1844766798089,25.651514689447527,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,extra_trees,Average,0.691301511556243,47.98845555220231,29.429768704068863,21246,5312,42,0.8
random,T7_tabular_plus_yolo,extra_trees,Average,0.6827024961939768,48.73057207022092,29.686881630538895,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,ridge,Average,0.24674752925087115,75.51622518854346,51.566165321742865,21246,5312,42,0.8
random,T7_road_only,random_forest,Average,0.24405104917928286,76.73830981642239,53.90083202557876,21246,5312,42,0.8
random,T7_road_only,hist_gradient_boosting,Average,0.23491242297762938,77.16679899509906,53.1944093241244,21246,5312,42,0.8
random,T7_road_only,extra_trees,Average,0.2334693276008153,77.31360807259877,53.88080649365897,21246,5312,42,0.8
random,T7_tabular_plus_yolo,ridge,Average,0.22923503529692105,76.42559652974082,51.88354530766083,21246,5312,42,0.8
random,T7_yolo_only,hist_gradient_boosting,Average,0.21319759572325103,78.03750172444909,53.09654450770652,21246,5312,42,0.8
random,T7_tabular_plus_road,ridge,Average,0.20171017137789302,78.06078595428187,53.06040438036113,21246,5312,42,0.8
random,T7_yolo_only,extra_trees,Average,0.1902158106687238,79.366050436453,54.958467764635564,21246,5312,42,0.8
random,T7_yolo_only,random_forest,Average,0.18919437184236712,79.39059678844261,55.26678764149293,21246,5312,42,0.8
random,T7_tabular_only,ridge,Average,0.17573004188837568,79.42038471907506,53.30775266821121,21246,5312,42,0.8
random,T7_yolo_only,ridge,Average,0.11638976494631788,82.97410611005289,57.93304727968547,21246,5312,42,0.8
random,T7_road_only,ridge,Average,0.07780689963100984,85.0801570574555,60.48429183212937,21246,5312,42,0.8
random,baseline,train_mean,Average,-0.0003121434667152645,89.02590968134466,64.652651487191,21246,5312,42,0.8
random,baseline,previous_sequence_persistence,PM10,0.9592285550307296,22.77589464713879,9.006242891207346,21246,5312,42,0.8
random,T7_tabular_only,random_forest,PM10,0.8628681111026779,41.77020653093374,19.90819422549264,21246,5312,42,0.8
random,T7_tabular_plus_road,random_forest,PM10,0.8521864287562861,43.366517546521635,21.633115556585015,21246,5312,42,0.8
random,T7_tabular_plus_road,extra_trees,PM10,0.8385928795778135,45.31674817321233,23.48601638896089,21246,5312,42,0.8
random,T7_tabular_only,extra_trees,PM10,0.8263981860632781,46.99747471629118,24.616086152915468,21246,5312,42,0.8
random,T7_tabular_plus_road,hist_gradient_boosting,PM10,0.8238995270415341,47.334484823121805,25.215874602420275,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,PM10,0.8166396466218221,48.300331580167125,25.663812274485906,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,random_forest,PM10,0.8131994939983719,48.751324317283924,25.55161044722061,21246,5312,42,0.8
random,T7_tabular_only,hist_gradient_boosting,PM10,0.810366508476376,49.11961048330206,25.478956143162566,21246,5312,42,0.8
random,T7_tabular_plus_yolo,random_forest,PM10,0.8039962293905327,49.937823104957765,25.995198225802596,21246,5312,42,0.8
random,T7_tabular_plus_yolo,hist_gradient_boosting,PM10,0.8026329106955459,50.111195259119,26.371679903025438,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,extra_trees,PM10,0.7777082019041586,53.18132003812551,29.88701350531397,21246,5312,42,0.8
random,T7_tabular_plus_yolo,extra_trees,PM10,0.7682896080215016,54.29628921312241,30.28752438202175,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,ridge,PM10,0.3949608870999083,87.73828050687237,57.87673605238291,21246,5312,42,0.8
random,T7_tabular_plus_yolo,ridge,PM10,0.37694602333655125,89.03489065498741,58.44254156633271,21246,5312,42,0.8
random,T7_tabular_plus_road,ridge,PM10,0.33773728140303083,91.79363060363274,59.73464660407458,21246,5312,42,0.8
random,T7_road_only,random_forest,PM10,0.30901159493984587,93.76327615181837,63.34028439446799,21246,5312,42,0.8
random,T7_tabular_only,ridge,PM10,0.30587086425151977,93.97612438932222,59.69930942725453,21246,5312,42,0.8
random,T7_yolo_only,hist_gradient_boosting,PM10,0.301220721018561,94.29038362499804,61.13031131245054,21246,5312,42,0.8
random,T7_road_only,hist_gradient_boosting,PM10,0.29937289279294466,94.41497046233182,62.38713166643908,21246,5312,42,0.8
random,T7_road_only,extra_trees,PM10,0.29514267410298534,94.69956901510432,63.62214231629819,21246,5312,42,0.8
random,T7_yolo_only,random_forest,PM10,0.25646748722218926,97.26293607507277,65.28825037194107,21246,5312,42,0.8
random,T7_yolo_only,extra_trees,PM10,0.25511385439189604,97.3514314893734,65.31425764294632,21246,5312,42,0.8
random,T7_yolo_only,ridge,PM10,0.18247809834167827,101.98753418917724,68.94527527758552,21246,5312,42,0.8
random,T7_road_only,ridge,PM10,0.122697336645189,105.65063640559634,73.27697201296424,21246,5312,42,0.8
random,baseline,train_mean,PM10,-0.00014838929316240979,112.80532821549667,81.45732778278477,21246,5312,42,0.8
random,baseline,previous_sequence_persistence,PM2.5,0.9435207494974694,11.027451593467804,4.755307136420899,21246,5312,42,0.8
random,T7_tabular_only,random_forest,PM2.5,0.8091170061381574,20.272827108086982,11.02552212229476,21246,5312,42,0.8
random,T7_tabular_plus_road,random_forest,PM2.5,0.7649048932068555,22.498444486864724,12.996847826146938,21246,5312,42,0.8
random,T7_tabular_only,hist_gradient_boosting,PM2.5,0.740350896700762,23.64417206557499,14.10160214070043,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,PM2.5,0.7321273944436157,24.01567781657933,14.840953168286635,21246,5312,42,0.8
random,T7_tabular_plus_road,hist_gradient_boosting,PM2.5,0.7297637174413704,24.121400893504987,14.750186464755123,21246,5312,42,0.8
random,T7_tabular_plus_yolo,hist_gradient_boosting,PM2.5,0.716777676222699,24.69417027925559,15.17494642975428,21246,5312,42,0.8
random,T7_tabular_plus_road,extra_trees,PM2.5,0.7148357159135752,24.778685467762703,14.481870844365927,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,random_forest,PM2.5,0.7139122379132374,24.818774771279884,14.973312157126253,21246,5312,42,0.8
random,T7_tabular_only,extra_trees,PM2.5,0.704798810290968,25.210981246190602,14.93877561193844,21246,5312,42,0.8
random,T7_tabular_plus_yolo,random_forest,PM2.5,0.7031755593546214,25.280201233531578,15.146133749910959,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,extra_trees,PM2.5,0.6346020025763124,28.048767275373393,17.240391775549877,21246,5312,42,0.8
random,T7_tabular_plus_yolo,extra_trees,PM2.5,0.6272393470193357,28.32994488055501,17.3648658396422,21246,5312,42,0.8
random,T7_road_only,random_forest,PM2.5,0.1970674878731088,41.57863421628559,28.267439492448656,21246,5312,42,0.8
random,T7_road_only,extra_trees,PM2.5,0.1884858989323548,41.80023592125394,28.136265652065717,21246,5312,42,0.8
random,T7_road_only,hist_gradient_boosting,PM2.5,0.18424180314483807,41.90939783244797,28.098943848959465,21246,5312,42,0.8
random,T7_yolo_only,hist_gradient_boosting,PM2.5,0.1467147121788578,42.86253240588814,28.760619388000112,21246,5312,42,0.8
random,T7_yolo_only,extra_trees,PM2.5,0.13403336711536096,43.17986465828755,28.79993187085638,21246,5312,42,0.8
random,T7_yolo_only,random_forest,PM2.5,0.13111789620400882,43.252490931435034,29.150617493337876,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,ridge,PM2.5,0.12994055151282657,43.2817848089923,28.95432731747258,21246,5312,42,0.8
random,T7_tabular_plus_yolo,ridge,PM2.5,0.11153494173811984,43.7371896518387,29.044801948708834,21246,5312,42,0.8
random,T7_tabular_plus_road,ridge,PM2.5,0.09897527859748734,44.045247128919236,29.463492501565046,21246,5312,42,0.8
random,T7_tabular_only,ridge,PM2.5,0.07546794934963263,44.61610805830881,29.572375131710192,21246,5312,42,0.8
random,T7_yolo_only,ridge,PM2.5,0.06057150000817213,44.974108508588635,30.55678483084416,21246,5312,42,0.8
random,T7_road_only,ridge,PM2.5,0.04516843708582985,45.34131181018105,30.910568139389223,21246,5312,42,0.8
