column,missing_count,missing_frac,dtype
Day_or_Night,0,0.0,str
Humidity,0,0.0,float64
Image,0,0.0,int64
PM10,0,0.0,float64
PM2.5,0,0.0,float64
Season,0,0.0,str
Temperature,0,0.0,float64
aqi,0,0.0,float64
aqi_cat,0,0.0,str
created_at,0,0.0,str
created_at_parsed,0,0.0,datetime64[us]
date,0,0.0,str
date_fold_id,0,0.0,int64
env_plausible,0,0.0,bool
front_exists,0,0.0,bool
front_file,0,0.0,str
front_image_id_from_name,0,0.0,int64
front_path,0,0.0,str
front_size_kb,0,0.0,float64
hour,0,0.0,str
hour_block,0,0.0,str
hour_numeric,0,0.0,int32
humidity_plausible,0,0.0,bool
image_id,0,0.0,int64
log1p_PM10,0,0.0,float64
log1p_PM2.5,0,0.0,float64
log1p_aqi,0,0.0,float64
rear_exists,0,0.0,bool
rear_file,0,0.0,str
rear_image_id_from_name,0,0.0,int64
rear_path,0,0.0,str
rear_size_kb,0,0.0,float64
row_id,0,0.0,int64
split_date_chrono,0,0.0,str
temperature_plausible,0,0.0,bool
