hour,rows,start_time,end_time,unique_timestamps,PM2.5_mean,PM2.5_std,PM2.5_min,PM2.5_p25,PM2.5_median,PM2.5_p75,PM2.5_max,PM10_mean,PM10_std,PM10_min,PM10_p25,PM10_median,PM10_p75,PM10_max,aqi_mean,aqi_std,aqi_min,aqi_p25,aqi_median,aqi_p75,aqi_max,Day_or_Night_Day,Season_Winter,Temperature_mean,Temperature_min,Temperature_max,Humidity_mean,Humidity_min,Humidity_max,Season_Monsoon,Season_Summer,Day_or_Night_Night
18,6261,2022-10-22 18:00:00,2024-03-06 18:59:00,758,50.98802694381728,18.273599282100772,21.159,38.859,47.709,59.155,248.9080175,85.77327856178566,65.62213599126495,33.448,51.8018,61.0928,83.2934,668.1966269,103.50528258106533,61.36190259557648,36.545,65.355,84.235,124.9133333,596.1061412,,2763.0,29.796986104456156,26.85,181.37,38.149787985944734,18.89844,49.849,2284.0,1214.0,6261.0
19,4938,2022-10-22 19:00:00,2024-03-06 19:59:00,605,65.03831549977319,41.616847473270234,27.0,43.402,52.690147455,66.294,325.363,100.38750285081004,60.21459876942986,40.0984,56.99335,70.1393,143.04105,490.2090154,130.9999776873147,82.06039373341511,45.0,72.5104333325,108.792248,150.2416025,475.2612692,,1462.0,28.897577966788173,23.69,33.76,40.106046553260434,27.08203,58.293,2252.0,1224.0,4938.0
20,1690,2022-10-22 20:00:00,2024-03-06 20:08:00,181,80.74532142651478,59.23870575738792,29.183,41.11575,52.606,92.254,326.484,95.39236554514792,56.48144155547471,41.0112,56.14575,66.863,138.85195,440.0982934,156.91510010429585,113.69052677418074,48.63833333,68.5262500025,94.80583333000001,222.8064846,458.8338462,,,27.062289940828403,23.22,33.27,46.09539618343195,27.99023,60.995,1526.0,164.0,1690.0
17,5481,2022-10-26 17:00:00,2024-07-09 17:59:50,1342,55.201405795039925,30.01569058641344,14.9844499837516,36.68093951,48.476,63.226,325.2993497,103.10770572338508,87.23069974272485,32.5026,55.127,67.6183834301348,110.1239167,652.5960954,117.10217914275218,80.51900204907231,38.11666667,67.51833333,88.5404666262526,137.7927125,597.583462,5481.0,2787.0,32.60251837592297,-17.32,38.79,35.6719851005009,16.45996,69.9984171296736,1356.0,1338.0,
16,2306,2023-02-06 16:01:00,2024-07-09 16:51:45,912,78.98299670518706,55.02513996085387,16.3629980557516,41.16,63.53522579,95.47357597342929,400.863042625652,142.700839930689,113.2611757770069,32.1766,59.27535,95.7364524200674,201.24506442499998,669.1420885,166.5741022556873,111.85060565962657,42.345,72.3887554726011,134.87746605,225.15253115,593.4469342,2306.0,1211.0,35.32615960082332,-93.47,40.89,29.69449369067766,14.99414,69.6829547066942,404.0,691.0,
9,1220,2023-12-21 09:00:20,2024-07-09 09:59:55,1220,99.35360716850136,71.06011329640742,14.5249339597516,24.9789235057516,111.377570760572,139.991725314072,286.973316471572,260.3037609577137,176.26194217753635,57.5140993801348,71.4669269138848,299.220980728424,388.923900463424,658.978168625557,246.02397433550288,165.03337859221492,57.5140993801348,71.4669269138848,274.9521199035745,350.41650150449374,599.060782844446,1220.0,703.0,29.596994067872547,-54.77,36.68,41.76471871286873,20.2793,68.1694850896576,517.0,,
10,1478,2023-12-21 10:00:03,2024-07-09 10:59:55,1478,84.75512510348118,52.7904535457465,14.5249339597516,31.6419058537516,85.5201596677516,126.108320029572,298.314676766511,197.019805923523,138.93213263117465,57.2169145551348,72.3881998713848,105.95522585513501,317.362480305924,658.032683305557,199.57388878282256,127.68114807891156,57.2169145551348,72.43893464291425,185.06719889250502,306.67918625870925,577.49186943553,1478.0,670.0,32.69999340608784,-60.25,38.31,44.24639116193468,14.24219,68.6039546874668,808.0,,
11,840,2023-12-21 11:00:12,2024-07-09 11:59:45,840,59.67908592036159,42.43263318675996,14.6398129657516,24.8640444997516,38.4772067107516,100.557639881572,199.110263309572,135.1634121493184,102.95324923462742,58.2867799251348,69.03001134888481,77.7821044451348,238.296270420924,572.938980868424,142.6229620232262,101.768652302767,58.2867799251348,69.03001134888481,79.14915464013481,239.15055971353723,578.67372608553,840.0,221.0,25.155761916020555,-13.61,39.49,50.88414015379633,15.60254,68.867276605427,619.0,,
6,27,2023-12-23 06:20:57,2023-12-23 06:54:58,27,257.7435711000952,18.524030938517384,194.156560015572,252.558121157603,262.465508191511,268.46210942557195,279.933843369572,642.2220422886364,32.26209634378132,545.992649248424,637.941096618424,655.196203708424,663.3510027748575,669.851249805557,552.7288550470033,9.29857542919297,540.0,546.0,552.0,557.5,579.855612281946,27.0,27.0,17.012962962962966,15.7,18.63,68.7268874074074,63.70996,73.63965,,,
7,40,2023-12-23 07:05:05,2023-12-23 07:53:21,40,246.4996054762987,34.57029562352489,110.073964630572,247.73476869955675,257.642185064603,262.889193219822,271.851498399634,612.0938875464257,96.95902867005219,275.820219058424,626.5952786877073,641.250271601291,658.328100193791,669.614878475557,526.4438014717218,71.50531343729081,266.913215435241,542.0,549.0,554.25,560.0,40.0,40.0,17.458499999999997,14.45,20.97,68.86335475,58.83887,76.16699,,,
